Statistic,Quarter,Sector,value
Gross Value Added at Constant Basic Prices,1996Q1,"Distribution, Transport, Hotels and Restaurants",6293.0
Gross Value Added at Constant Basic Prices,1996Q1,Information and Communication,1127.0
Gross Value Added at Constant Basic Prices,1996Q1,Financial and Insurance Activities,2450.0
Gross Value Added at Constant Basic Prices,1996Q1,Real Estate Activities,3237.0
Gross Value Added at Constant Basic Prices,1996Q1,"Professional, Admin and Support Services",1879.0
Gross Value Added at Constant Basic Prices,1996Q1,"Public Admin, Education and Health",5795.0
Gross Value Added at Constant Basic Prices,1996Q1,"Arts, Entertainment and Other Services",596.0
Gross Value Added at Constant Basic Prices,1996Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1996Q1,All Sectors,25897.0
Gross Value Added at Constant Basic Prices,1996Q2,"Agriculture, Forestry and Fishing",922.0
Gross Value Added at Constant Basic Prices,1996Q2,Industry (excl. Construction),6899.0
Gross Value Added at Constant Basic Prices,1996Q2,Industry - of which Manufacturing,6117.0
Gross Value Added at Constant Basic Prices,1996Q2,Construction,2246.0
Gross Value Added at Constant Basic Prices,1996Q2,"Distribution, Transport, Hotels and Restaurants",6339.0
Gross Value Added at Constant Basic Prices,1996Q2,Information and Communication,1164.0
Gross Value Added at Constant Basic Prices,1996Q2,Financial and Insurance Activities,2642.0
Gross Value Added at Constant Basic Prices,1996Q2,Real Estate Activities,3358.0
Gross Value Added at Constant Basic Prices,1996Q2,"Professional, Admin and Support Services",1906.0
Gross Value Added at Constant Basic Prices,1996Q2,"Public Admin, Education and Health",5846.0
Gross Value Added at Constant Basic Prices,1996Q2,"Arts, Entertainment and Other Services",606.0
Gross Value Added at Constant Basic Prices,1996Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1996Q2,All Sectors,27061.0
Gross Value Added at Constant Basic Prices,1996Q3,"Agriculture, Forestry and Fishing",570.0
Gross Value Added at Constant Basic Prices,1996Q3,Industry (excl. Construction),5948.0
Gross Value Added at Constant Basic Prices,1996Q3,Industry - of which Manufacturing,5165.0
Gross Value Added at Constant Basic Prices,1996Q3,Construction,2260.0
Gross Value Added at Constant Basic Prices,1996Q3,"Distribution, Transport, Hotels and Restaurants",6878.0
Gross Value Added at Constant Basic Prices,1996Q3,Information and Communication,1162.0
Gross Value Added at Constant Basic Prices,1996Q3,Financial and Insurance Activities,2710.0
Gross Value Added at Constant Basic Prices,1996Q3,Real Estate Activities,3579.0
Gross Value Added at Constant Basic Prices,1996Q3,"Professional, Admin and Support Services",1975.0
Gross Value Added at Constant Basic Prices,1996Q3,"Public Admin, Education and Health",5680.0
Gross Value Added at Constant Basic Prices,1996Q3,"Arts, Entertainment and Other Services",629.0
Gross Value Added at Constant Basic Prices,1996Q3,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1996Q3,All Sectors,26782.0
Gross Value Added at Constant Basic Prices,1996Q4,"Agriculture, Forestry and Fishing",335.0
Gross Value Added at Constant Basic Prices,1996Q4,Industry (excl. Construction),6968.0
Gross Value Added at Constant Basic Prices,1996Q4,Industry - of which Manufacturing,6164.0
Gross Value Added at Constant Basic Prices,1996Q4,Construction,2300.0
Gross Value Added at Constant Basic Prices,1996Q4,"Distribution, Transport, Hotels and Restaurants",6613.0
Gross Value Added at Constant Basic Prices,1996Q4,Information and Communication,1301.0
Gross Value Added at Constant Basic Prices,1996Q4,Financial and Insurance Activities,2907.0
Gross Value Added at Constant Basic Prices,1996Q4,Real Estate Activities,3675.0
Gross Value Added at Constant Basic Prices,1996Q4,"Professional, Admin and Support Services",2170.0
Gross Value Added at Constant Basic Prices,1996Q4,"Public Admin, Education and Health",5656.0
Gross Value Added at Constant Basic Prices,1996Q4,"Arts, Entertainment and Other Services",650.0
Gross Value Added at Constant Basic Prices,1996Q4,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1996Q4,All Sectors,26722.0
Gross Value Added at Constant Basic Prices,1997Q1,"Agriculture, Forestry and Fishing",761.0
Gross Value Added at Constant Basic Prices,1997Q1,Industry (excl. Construction),7218.0
Gross Value Added at Constant Basic Prices,1997Q1,Industry - of which Manufacturing,6425.0
Gross Value Added at Constant Basic Prices,1997Q1,Construction,2356.0
Gross Value Added at Constant Basic Prices,1997Q1,"Distribution, Transport, Hotels and Restaurants",6497.0
Gross Value Added at Constant Basic Prices,1997Q1,Information and Communication,1393.0
Gross Value Added at Constant Basic Prices,1997Q1,Financial and Insurance Activities,2855.0
Gross Value Added at Constant Basic Prices,1997Q1,Real Estate Activities,3342.0
Gross Value Added at Constant Basic Prices,1997Q1,"Professional, Admin and Support Services",2143.0
Gross Value Added at Constant Basic Prices,1997Q1,"Public Admin, Education and Health",5839.0
Gross Value Added at Constant Basic Prices,1997Q1,"Arts, Entertainment and Other Services",659.0
Gross Value Added at Constant Basic Prices,1997Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1997Q1,All Sectors,27775.0
Gross Value Added at Constant Basic Prices,1997Q2,"Agriculture, Forestry and Fishing",981.0
Gross Value Added at Constant Basic Prices,1997Q2,Industry (excl. Construction),7829.0
Gross Value Added at Constant Basic Prices,1997Q2,Industry - of which Manufacturing,7076.0
Gross Value Added at Constant Basic Prices,1997Q2,Construction,2484.0
Gross Value Added at Constant Basic Prices,1997Q2,"Distribution, Transport, Hotels and Restaurants",6732.0
Gross Value Added at Constant Basic Prices,1997Q2,Information and Communication,1318.0
Gross Value Added at Constant Basic Prices,1997Q2,Financial and Insurance Activities,3019.0
Gross Value Added at Constant Basic Prices,1997Q2,Real Estate Activities,3604.0
Gross Value Added at Constant Basic Prices,1997Q2,"Professional, Admin and Support Services",2281.0
Gross Value Added at Constant Basic Prices,1997Q2,"Public Admin, Education and Health",5855.0
Gross Value Added at Constant Basic Prices,1997Q2,"Arts, Entertainment and Other Services",703.0
Gross Value Added at Constant Basic Prices,1997Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1997Q2,All Sectors,29658.0
Gross Value Added at Constant Basic Prices,1997Q3,"Agriculture, Forestry and Fishing",552.0
Gross Value Added at Constant Basic Prices,1997Q3,Industry (excl. Construction),7712.0
Gross Value Added at Constant Basic Prices,1997Q3,Industry - of which Manufacturing,6959.0
Gross Value Added at Constant Basic Prices,1997Q3,Construction,2653.0
Gross Value Added at Constant Basic Prices,1997Q3,"Distribution, Transport, Hotels and Restaurants",7407.0
Gross Value Added at Constant Basic Prices,1997Q3,Information and Communication,1375.0
Gross Value Added at Constant Basic Prices,1997Q3,Financial and Insurance Activities,3206.0
Gross Value Added at Constant Basic Prices,1997Q3,Real Estate Activities,3772.0
Gross Value Added at Constant Basic Prices,1997Q3,"Professional, Admin and Support Services",2410.0
Gross Value Added at Constant Basic Prices,1997Q3,"Public Admin, Education and Health",5692.0
Gross Value Added at Constant Basic Prices,1997Q3,"Arts, Entertainment and Other Services",687.0
Gross Value Added at Constant Basic Prices,1997Q3,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1997Q3,All Sectors,29732.0
Gross Value Added at Constant Basic Prices,1997Q4,"Agriculture, Forestry and Fishing",321.0
Gross Value Added at Constant Basic Prices,1997Q4,Industry (excl. Construction),8013.0
Gross Value Added at Constant Basic Prices,1997Q4,Industry - of which Manufacturing,7211.0
Gross Value Added at Constant Basic Prices,1997Q4,Construction,2675.0
Gross Value Added at Constant Basic Prices,1997Q4,"Distribution, Transport, Hotels and Restaurants",7505.0
Gross Value Added at Constant Basic Prices,1997Q4,Information and Communication,1536.0
Gross Value Added at Constant Basic Prices,1997Q4,Financial and Insurance Activities,3120.0
Gross Value Added at Constant Basic Prices,1997Q4,Real Estate Activities,3899.0
Gross Value Added at Constant Basic Prices,1997Q4,"Professional, Admin and Support Services",2600.0
Gross Value Added at Constant Basic Prices,1997Q4,"Public Admin, Education and Health",5681.0
Gross Value Added at Constant Basic Prices,1997Q4,"Arts, Entertainment and Other Services",696.0
Gross Value Added at Constant Basic Prices,1997Q4,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1997Q4,All Sectors,30349.0
Gross Value Added at Constant Basic Prices,1998Q1,"Agriculture, Forestry and Fishing",810.0
Gross Value Added at Constant Basic Prices,1998Q1,Industry (excl. Construction),8838.0
Gross Value Added at Constant Basic Prices,1998Q1,Industry - of which Manufacturing,8044.0
Gross Value Added at Constant Basic Prices,1998Q1,Construction,2499.0
Gross Value Added at Constant Basic Prices,1998Q1,"Distribution, Transport, Hotels and Restaurants",7126.0
Gross Value Added at Constant Basic Prices,1998Q1,Information and Communication,1612.0
Gross Value Added at Constant Basic Prices,1998Q1,Financial and Insurance Activities,3223.0
Gross Value Added at Constant Basic Prices,1998Q1,Real Estate Activities,3689.0
Gross Value Added at Constant Basic Prices,1998Q1,"Professional, Admin and Support Services",2595.0
Gross Value Added at Constant Basic Prices,1998Q1,"Public Admin, Education and Health",5730.0
Gross Value Added at Constant Basic Prices,1998Q1,"Arts, Entertainment and Other Services",639.0
Gross Value Added at Constant Basic Prices,1998Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1998Q1,All Sectors,30551.0
Gross Value Added at Constant Basic Prices,1998Q2,"Agriculture, Forestry and Fishing",940.0
Gross Value Added at Constant Basic Prices,1998Q2,Industry (excl. Construction),8727.0
Gross Value Added at Constant Basic Prices,1998Q2,Industry - of which Manufacturing,7959.0
Gross Value Added at Constant Basic Prices,1998Q2,Construction,2568.0
Gross Value Added at Constant Basic Prices,1998Q2,"Distribution, Transport, Hotels and Restaurants",7339.0
Gross Value Added at Constant Basic Prices,1998Q2,Information and Communication,1667.0
Gross Value Added at Constant Basic Prices,1998Q2,Financial and Insurance Activities,3054.0
Gross Value Added at Constant Basic Prices,1998Q2,Real Estate Activities,4030.0
Gross Value Added at Constant Basic Prices,1998Q2,"Professional, Admin and Support Services",2628.0
Gross Value Added at Constant Basic Prices,1998Q2,"Public Admin, Education and Health",5839.0
Gross Value Added at Constant Basic Prices,1998Q2,"Arts, Entertainment and Other Services",658.0
Gross Value Added at Constant Basic Prices,1998Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1998Q2,All Sectors,31780.0
Gross Value Added at Constant Basic Prices,1998Q3,"Agriculture, Forestry and Fishing",535.0
Gross Value Added at Constant Basic Prices,1998Q3,Industry (excl. Construction),8831.0
Gross Value Added at Constant Basic Prices,1998Q3,Industry - of which Manufacturing,8071.0
Gross Value Added at Constant Basic Prices,1998Q3,Construction,2894.0
Gross Value Added at Constant Basic Prices,1998Q3,"Distribution, Transport, Hotels and Restaurants",7919.0
Gross Value Added at Constant Basic Prices,1998Q3,Information and Communication,1576.0
Gross Value Added at Constant Basic Prices,1998Q3,Financial and Insurance Activities,3371.0
Gross Value Added at Constant Basic Prices,1998Q3,Real Estate Activities,4152.0
Gross Value Added at Constant Basic Prices,1998Q3,"Professional, Admin and Support Services",2735.0
Gross Value Added at Constant Basic Prices,1998Q3,"Public Admin, Education and Health",5929.0
Gross Value Added at Constant Basic Prices,1998Q3,"Arts, Entertainment and Other Services",690.0
Gross Value Added at Constant Basic Prices,1998Q3,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1998Q3,All Sectors,32781.0
Gross Value Added at Constant Basic Prices,1998Q4,"Agriculture, Forestry and Fishing",341.0
Gross Value Added at Constant Basic Prices,1998Q4,Industry (excl. Construction),8415.0
Gross Value Added at Constant Basic Prices,1998Q4,Industry - of which Manufacturing,7604.0
Gross Value Added at Constant Basic Prices,1998Q4,Construction,3042.0
Gross Value Added at Constant Basic Prices,1998Q4,"Distribution, Transport, Hotels and Restaurants",7796.0
Gross Value Added at Constant Basic Prices,1998Q4,Information and Communication,1704.0
Gross Value Added at Constant Basic Prices,1998Q4,Financial and Insurance Activities,3299.0
Gross Value Added at Constant Basic Prices,1998Q4,Real Estate Activities,4351.0
Gross Value Added at Constant Basic Prices,1998Q4,"Professional, Admin and Support Services",2936.0
Gross Value Added at Constant Basic Prices,1998Q4,"Public Admin, Education and Health",6054.0
Gross Value Added at Constant Basic Prices,1998Q4,"Arts, Entertainment and Other Services",725.0
Gross Value Added at Constant Basic Prices,1998Q4,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1998Q4,All Sectors,31978.0
Gross Value Added at Constant Basic Prices,1999Q1,"Agriculture, Forestry and Fishing",663.0
Gross Value Added at Constant Basic Prices,1999Q1,Industry (excl. Construction),9703.0
Gross Value Added at Constant Basic Prices,1999Q1,Industry - of which Manufacturing,8861.0
Gross Value Added at Constant Basic Prices,1999Q1,Construction,2967.0
Gross Value Added at Constant Basic Prices,1999Q1,"Distribution, Transport, Hotels and Restaurants",7550.0
Gross Value Added at Constant Basic Prices,1999Q1,Information and Communication,1764.0
Gross Value Added at Constant Basic Prices,1999Q1,Financial and Insurance Activities,3180.0
Gross Value Added at Constant Basic Prices,1999Q1,Real Estate Activities,4126.0
Gross Value Added at Constant Basic Prices,1999Q1,"Professional, Admin and Support Services",2839.0
Gross Value Added at Constant Basic Prices,1999Q1,"Public Admin, Education and Health",5873.0
Gross Value Added at Constant Basic Prices,1999Q1,"Arts, Entertainment and Other Services",702.0
Gross Value Added at Constant Basic Prices,1999Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1999Q1,All Sectors,33332.0
Gross Value Added at Constant Basic Prices,1999Q2,"Agriculture, Forestry and Fishing",838.0
Gross Value Added at Constant Basic Prices,1999Q2,Industry (excl. Construction),9592.0
Gross Value Added at Constant Basic Prices,1999Q2,Industry - of which Manufacturing,8746.0
Gross Value Added at Constant Basic Prices,1999Q2,Construction,2944.0
Gross Value Added at Constant Basic Prices,1999Q2,"Distribution, Transport, Hotels and Restaurants",7822.0
Gross Value Added at Constant Basic Prices,1999Q2,Information and Communication,1752.0
Gross Value Added at Constant Basic Prices,1999Q2,Financial and Insurance Activities,3391.0
Gross Value Added at Constant Basic Prices,1999Q2,Real Estate Activities,4288.0
Gross Value Added at Constant Basic Prices,1999Q2,"Professional, Admin and Support Services",2973.0
Gross Value Added at Constant Basic Prices,1999Q2,"Public Admin, Education and Health",6074.0
Gross Value Added at Constant Basic Prices,1999Q2,"Arts, Entertainment and Other Services",726.0
Gross Value Added at Constant Basic Prices,1999Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1999Q2,All Sectors,33863.0
Gross Value Added at Constant Basic Prices,1999Q3,"Agriculture, Forestry and Fishing",501.0
Gross Value Added at Constant Basic Prices,1999Q3,Industry (excl. Construction),9192.0
Gross Value Added at Constant Basic Prices,1999Q3,Industry - of which Manufacturing,8353.0
Gross Value Added at Constant Basic Prices,1999Q3,Construction,3173.0
Gross Value Added at Constant Basic Prices,1999Q3,"Distribution, Transport, Hotels and Restaurants",8497.0
Gross Value Added at Constant Basic Prices,1999Q3,Information and Communication,1854.0
Gross Value Added at Constant Basic Prices,1999Q3,Financial and Insurance Activities,3705.0
Gross Value Added at Constant Basic Prices,1999Q3,Real Estate Activities,4418.0
Gross Value Added at Constant Basic Prices,1999Q3,"Professional, Admin and Support Services",2918.0
Gross Value Added at Constant Basic Prices,1999Q3,"Public Admin, Education and Health",6225.0
Gross Value Added at Constant Basic Prices,1999Q3,"Arts, Entertainment and Other Services",744.0
Gross Value Added at Constant Basic Prices,1999Q3,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1999Q3,All Sectors,35707.0
Gross Value Added at Constant Basic Prices,1999Q4,"Agriculture, Forestry and Fishing",281.0
Gross Value Added at Constant Basic Prices,1999Q4,Industry (excl. Construction),10726.0
Gross Value Added at Constant Basic Prices,1999Q4,Industry - of which Manufacturing,9853.0
Gross Value Added at Constant Basic Prices,1999Q4,Construction,3190.0
Gross Value Added at Constant Basic Prices,1999Q4,"Distribution, Transport, Hotels and Restaurants",8251.0
Gross Value Added at Constant Basic Prices,1999Q4,Information and Communication,2075.0
Gross Value Added at Constant Basic Prices,1999Q4,Financial and Insurance Activities,3623.0
Gross Value Added at Constant Basic Prices,1999Q4,Real Estate Activities,4667.0
Gross Value Added at Constant Basic Prices,1999Q4,"Professional, Admin and Support Services",3151.0
Gross Value Added at Constant Basic Prices,1999Q4,"Public Admin, Education and Health",6427.0
Gross Value Added at Constant Basic Prices,1999Q4,"Arts, Entertainment and Other Services",733.0
Gross Value Added at Constant Basic Prices,1999Q4,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1999Q4,All Sectors,36664.0
Gross Value Added at Constant Basic Prices,2000Q1,"Agriculture, Forestry and Fishing",644.0
Gross Value Added at Constant Basic Prices,2000Q1,Industry (excl. Construction),9896.0
Gross Value Added at Constant Basic Prices,2000Q1,Industry - of which Manufacturing,8997.0
Gross Value Added at Constant Basic Prices,2000Q1,Construction,3136.0
Gross Value Added at Constant Basic Prices,2000Q1,"Distribution, Transport, Hotels and Restaurants",8153.0
Gross Value Added at Constant Basic Prices,2000Q1,Information and Communication,1864.0
Gross Value Added at Constant Basic Prices,2000Q1,Financial and Insurance Activities,3845.0
Gross Value Added at Constant Basic Prices,2000Q1,Real Estate Activities,4281.0
Gross Value Added at Constant Basic Prices,2000Q1,"Professional, Admin and Support Services",3111.0
Gross Value Added at Constant Basic Prices,2000Q1,"Public Admin, Education and Health",6115.0
Gross Value Added at Constant Basic Prices,2000Q1,"Arts, Entertainment and Other Services",711.0
Gross Value Added at Constant Basic Prices,2000Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,2000Q1,All Sectors,35704.0
Gross Value Added at Constant Basic Prices,2000Q2,"Agriculture, Forestry and Fishing",880.0
Gross Value Added at Constant Basic Prices,2000Q2,Industry (excl. Construction),11294.0
Gross Value Added at Constant Basic Prices,2000Q2,Industry - of which Manufacturing,10366.0
Gross Value Added at Constant Basic Prices,2000Q2,Construction,3242.0
Gross Value Added at Constant Basic Prices,2000Q2,"Distribution, Transport, Hotels and Restaurants",8269.0
Gross Value Added at Constant Basic Prices,2000Q2,Information and Communication,1762.0
Gross Value Added at Constant Basic Prices,2000Q2,Financial and Insurance Activities,4041.0
Gross Value Added at Constant Basic Prices,2000Q2,Real Estate Activities,4567.0
Gross Value Added at Constant Basic Prices,2000Q2,"Professional, Admin and Support Services",3142.0
Gross Value Added at Constant Basic Prices,2000Q2,"Public Admin, Education and Health",6262.0
Gross Value Added at Constant Basic Prices,2000Q2,"Arts, Entertainment and Other Services",703.0
Gross Value Added at Constant Basic Prices,2000Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,2000Q2,All Sectors,37973.0
Gross Value Added at Constant Basic Prices,2000Q3,"Agriculture, Forestry and Fishing",521.0
Gross Value Added at Constant Basic Prices,2000Q3,Industry (excl. Construction),10555.0
Gross Value Added at Constant Basic Prices,2000Q3,Industry - of which Manufacturing,9617.0
Gross Value Added at Constant Basic Prices,2000Q3,Construction,3339.0
Gross Value Added at Constant Basic Prices,2000Q3,"Distribution, Transport, Hotels and Restaurants",8681.0
Gross Value Added at Constant Basic Prices,2000Q3,Information and Communication,1875.0
Gross Value Added at Constant Basic Prices,2000Q3,Financial and Insurance Activities,4263.0
Gross Value Added at Constant Basic Prices,2000Q3,Real Estate Activities,4780.0
Gross Value Added at Constant Basic Prices,2000Q3,"Professional, Admin and Support Services",3336.0
Gross Value Added at Constant Basic Prices,2000Q3,"Public Admin, Education and Health",6421.0
Gross Value Added at Constant Basic Prices,2000Q3,"Arts, Entertainment and Other Services",740.0
Gross Value Added at Constant Basic Prices,2000Q3,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,2000Q3,All Sectors,38260.0
Gross Value Added at Constant Basic Prices,2000Q4,"Agriculture, Forestry and Fishing",254.0
Gross Value Added at Constant Basic Prices,2000Q4,Industry (excl. Construction),12965.0
Gross Value Added at Constant Basic Prices,2000Q4,Industry - of which Manufacturing,11986.0
Gross Value Added at Constant Basic Prices,2000Q4,Construction,3374.0
Gross Value Added at Constant Basic Prices,2000Q4,"Distribution, Transport, Hotels and Restaurants",8015.0
Gross Value Added at Constant Basic Prices,2000Q4,Information and Communication,2014.0
Gross Value Added at Constant Basic Prices,2000Q4,Financial and Insurance Activities,4352.0
Gross Value Added at Constant Basic Prices,2000Q4,Real Estate Activities,4907.0
Gross Value Added at Constant Basic Prices,2000Q4,"Professional, Admin and Support Services",3679.0
Gross Value Added at Constant Basic Prices,2000Q4,"Public Admin, Education and Health",6876.0
Gross Value Added at Constant Basic Prices,2000Q4,"Arts, Entertainment and Other Services",743.0
Gross Value Added at Constant Basic Prices,2000Q4,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,2000Q4,All Sectors,40321.0
Gross Value Added at Constant Basic Prices,2001Q1,"Agriculture, Forestry and Fishing",576.0
Gross Value Added at Constant Basic Prices,2001Q1,Industry (excl. Construction),12190.0
Gross Value Added at Constant Basic Prices,2001Q1,Industry - of which Manufacturing,11187.0
Gross Value Added at Constant Basic Prices,2001Q1,Construction,3174.0
Gross Value Added at Constant Basic Prices,2001Q1,"Distribution, Transport, Hotels and Restaurants",7833.0
Gross Value Added at Constant Basic Prices,2001Q1,Information and Communication,2086.0
Gross Value Added at Constant Basic Prices,2001Q1,Financial and Insurance Activities,4118.0
Gross Value Added at Constant Basic Prices,2001Q1,Real Estate Activities,4449.0
Gross Value Added at Constant Basic Prices,2001Q1,"Professional, Admin and Support Services",3487.0
Gross Value Added at Constant Basic Prices,2001Q1,"Public Admin, Education and Health",6159.0
Gross Value Added at Constant Basic Prices,2001Q1,"Arts, Entertainment and Other Services",750.0
Gross Value Added at Constant Basic Prices,2001Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,2001Q1,All Sectors,38738.0
Gross Value Added at Constant Basic Prices,2001Q2,"Agriculture, Forestry and Fishing",834.0
Gross Value Added at Constant Basic Prices,2001Q2,Industry (excl. Construction),12287.0
Gross Value Added at Constant Basic Prices,2001Q2,Industry - of which Manufacturing,11249.0
Gross Value Added at Constant Basic Prices,2001Q2,Construction,3277.0
Gross Value Added at Constant Basic Prices,2001Q2,"Distribution, Transport, Hotels and Restaurants",8156.0
Gross Value Added at Constant Basic Prices,2001Q2,Information and Communication,1797.0
Gross Value Added at Constant Basic Prices,2001Q2,Financial and Insurance Activities,4452.0
Gross Value Added at Constant Basic Prices,2001Q2,Real Estate Activities,4826.0
Gross Value Added at Constant Basic Prices,2001Q2,"Professional, Admin and Support Services",3772.0
Gross Value Added at Constant Basic Prices,2001Q2,"Public Admin, Education and Health",6522.0
Gross Value Added at Constant Basic Prices,2001Q2,"Arts, Entertainment and Other Services",734.0
Gross Value Added at Constant Basic Prices,2001Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,2001Q2,All Sectors,40798.0
Gross Value Added at Constant Basic Prices,2001Q3,"Agriculture, Forestry and Fishing",437.0
Gross Value Added at Constant Basic Prices,2001Q3,Industry (excl. Construction),10596.0
Gross Value Added at Constant Basic Prices,2001Q3,Industry - of which Manufacturing,9633.0
Gross Value Added at Constant Basic Prices,2001Q3,Construction,3438.0
Gross Value Added at Constant Basic Prices,2001Q3,"Distribution, Transport, Hotels and Restaurants",8220.0
Gross Value Added at Constant Basic Prices,2001Q3,Information and Communication,1960.0
Gross Value Added at Constant Basic Prices,2001Q3,Financial and Insurance Activities,4612.0
