Statistic,Month,Age.Group,Sex,value
Seasonally Adjusted Monthly Unemployment,1998 July,25 - 74 years,Male,50.6
Seasonally Adjusted Monthly Unemployment,1998 July,25 - 74 years,Female,34.7
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 24 years,Both sexes,41.2
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 24 years,Male,24.2
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 24 years,Female,17.0
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 74 years,Both sexes,124.7
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 74 years,Male,73.8
Seasonally Adjusted Monthly Unemployment,1998 August,15 - 74 years,Female,50.9
Seasonally Adjusted Monthly Unemployment,1998 August,25 - 74 years,Both sexes,83.5
Seasonally Adjusted Monthly Unemployment,1998 August,25 - 74 years,Male,49.6
Seasonally Adjusted Monthly Unemployment,1998 August,25 - 74 years,Female,33.9
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 24 years,Both sexes,41.4
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 24 years,Male,24.1
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 24 years,Female,17.3
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 74 years,Both sexes,123.4
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 74 years,Male,72.6
Seasonally Adjusted Monthly Unemployment,1998 September,15 - 74 years,Female,50.8
Seasonally Adjusted Monthly Unemployment,1998 September,25 - 74 years,Both sexes,82.0
Seasonally Adjusted Monthly Unemployment,1998 September,25 - 74 years,Male,48.5
Seasonally Adjusted Monthly Unemployment,1998 September,25 - 74 years,Female,33.5
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 24 years,Both sexes,41.0
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 24 years,Male,23.5
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 24 years,Female,17.5
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 74 years,Both sexes,118.5
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 74 years,Male,69.3
Seasonally Adjusted Monthly Unemployment,1998 October,15 - 74 years,Female,49.2
Seasonally Adjusted Monthly Unemployment,1998 October,25 - 74 years,Both sexes,77.5
Seasonally Adjusted Monthly Unemployment,1998 October,25 - 74 years,Male,45.8
Seasonally Adjusted Monthly Unemployment,1998 October,25 - 74 years,Female,31.7
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 24 years,Both sexes,40.3
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 24 years,Male,22.7
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 24 years,Female,17.6
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 74 years,Both sexes,114.5
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 74 years,Male,66.4
Seasonally Adjusted Monthly Unemployment,1998 November,15 - 74 years,Female,48.1
Seasonally Adjusted Monthly Unemployment,1998 November,25 - 74 years,Both sexes,74.1
Seasonally Adjusted Monthly Unemployment,1998 November,25 - 74 years,Male,43.7
Seasonally Adjusted Monthly Unemployment,1998 November,25 - 74 years,Female,30.5
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 24 years,Both sexes,41.3
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 24 years,Male,22.9
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 24 years,Female,18.4
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 74 years,Both sexes,114.1
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 74 years,Male,65.6
Seasonally Adjusted Monthly Unemployment,1998 December,15 - 74 years,Female,48.5
Seasonally Adjusted Monthly Unemployment,1998 December,25 - 74 years,Both sexes,72.8
Seasonally Adjusted Monthly Unemployment,1998 December,25 - 74 years,Male,42.7
Seasonally Adjusted Monthly Unemployment,1998 December,25 - 74 years,Female,30.2
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 24 years,Both sexes,40.1
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 24 years,Male,22.8
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 24 years,Female,17.3
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 74 years,Both sexes,113.0
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 74 years,Male,65.2
Seasonally Adjusted Monthly Unemployment,1999 January,15 - 74 years,Female,47.8
Seasonally Adjusted Monthly Unemployment,1999 January,25 - 74 years,Both sexes,72.9
Seasonally Adjusted Monthly Unemployment,1999 January,25 - 74 years,Male,42.4
Seasonally Adjusted Monthly Unemployment,1999 January,25 - 74 years,Female,30.5
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 24 years,Both sexes,39.2
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 24 years,Male,22.5
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 24 years,Female,16.7
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 74 years,Both sexes,110.6
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 74 years,Male,64.2
Seasonally Adjusted Monthly Unemployment,1999 February,15 - 74 years,Female,46.4
Seasonally Adjusted Monthly Unemployment,1999 February,25 - 74 years,Both sexes,71.4
Seasonally Adjusted Monthly Unemployment,1999 February,25 - 74 years,Male,41.7
Seasonally Adjusted Monthly Unemployment,1999 February,25 - 74 years,Female,29.7
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 24 years,Both sexes,38.9
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 24 years,Male,22.2
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 24 years,Female,16.7
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 74 years,Both sexes,109.9
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 74 years,Male,63.6
Seasonally Adjusted Monthly Unemployment,1999 March,15 - 74 years,Female,46.3
Seasonally Adjusted Monthly Unemployment,1999 March,25 - 74 years,Both sexes,71.0
Seasonally Adjusted Monthly Unemployment,1999 March,25 - 74 years,Male,41.4
Seasonally Adjusted Monthly Unemployment,1999 March,25 - 74 years,Female,29.7
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 24 years,Both sexes,38.2
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 24 years,Male,22.0
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 24 years,Female,16.3
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 74 years,Both sexes,108.9
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 74 years,Male,63.3
Seasonally Adjusted Monthly Unemployment,1999 April,15 - 74 years,Female,45.6
Seasonally Adjusted Monthly Unemployment,1999 April,25 - 74 years,Both sexes,70.7
Seasonally Adjusted Monthly Unemployment,1999 April,25 - 74 years,Male,41.4
Seasonally Adjusted Monthly Unemployment,1999 April,25 - 74 years,Female,29.3
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 24 years,Both sexes,37.8
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 24 years,Male,21.5
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 24 years,Female,16.3
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 74 years,Both sexes,108.6
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 74 years,Male,62.8
Seasonally Adjusted Monthly Unemployment,1999 May,15 - 74 years,Female,45.8
Seasonally Adjusted Monthly Unemployment,1999 May,25 - 74 years,Both sexes,70.8
Seasonally Adjusted Monthly Unemployment,1999 May,25 - 74 years,Male,41.4
Seasonally Adjusted Monthly Unemployment,1999 May,25 - 74 years,Female,29.5
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 24 years,Both sexes,36.4
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 24 years,Male,20.6
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 24 years,Female,15.8
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 74 years,Both sexes,104.2
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 74 years,Male,60.2
Seasonally Adjusted Monthly Unemployment,1999 June,15 - 74 years,Female,44.0
Seasonally Adjusted Monthly Unemployment,1999 June,25 - 74 years,Both sexes,67.8
Seasonally Adjusted Monthly Unemployment,1999 June,25 - 74 years,Male,39.6
Seasonally Adjusted Monthly Unemployment,1999 June,25 - 74 years,Female,28.2
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 24 years,Both sexes,35.2
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 24 years,Male,19.7
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 24 years,Female,15.4
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 74 years,Both sexes,100.0
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 74 years,Male,57.6
Seasonally Adjusted Monthly Unemployment,1999 July,15 - 74 years,Female,42.4
Seasonally Adjusted Monthly Unemployment,1999 July,25 - 74 years,Both sexes,64.8
Seasonally Adjusted Monthly Unemployment,1999 July,25 - 74 years,Male,37.9
Seasonally Adjusted Monthly Unemployment,1999 July,25 - 74 years,Female,26.9
Seasonally Adjusted Monthly Unemployment,1999 August,15 - 24 years,Both sexes,34.1
Seasonally Adjusted Monthly Unemployment,1999 August,15 - 24 years,Male,19.1
Seasonally Adjusted Monthly Unemployment,1999 August,15 - 24 years,Female,14.9
Seasonally Adjusted Monthly Unemployment,1999 August,15 - 74 years,Both sexes,96.3
Seasonally Adjusted Monthly Unemployment,1999 August,15 - 74 years,Male,55.0
Seasonally Adjusted Monthly Unemployment,1999 August,15 - 74 years,Female,41.4
Seasonally Adjusted Monthly Unemployment,1999 August,25 - 74 years,Both sexes,62.3
Seasonally Adjusted Monthly Unemployment,1999 August,25 - 74 years,Male,35.8
Seasonally Adjusted Monthly Unemployment,1999 August,25 - 74 years,Female,26.4
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 24 years,Both sexes,34.2
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 24 years,Male,19.3
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 24 years,Female,14.9
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 74 years,Both sexes,97.5
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 74 years,Male,54.9
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 74 years,Female,42.6
Seasonally Adjusted Monthly Unemployment,1999 September,25 - 74 years,Both sexes,63.3
Seasonally Adjusted Monthly Unemployment,1999 September,25 - 74 years,Male,35.6
Seasonally Adjusted Monthly Unemployment,1999 September,25 - 74 years,Female,27.7
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 24 years,Both sexes,33.2
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 24 years,Male,19.1
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 24 years,Female,14.1
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 74 years,Both sexes,98.1
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 74 years,Male,54.4
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 74 years,Female,43.7
Seasonally Adjusted Monthly Unemployment,1999 October,25 - 74 years,Both sexes,64.8
Seasonally Adjusted Monthly Unemployment,1999 October,25 - 74 years,Male,35.3
Seasonally Adjusted Monthly Unemployment,1999 October,25 - 74 years,Female,29.6
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 24 years,Both sexes,32.4
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 24 years,Male,18.6
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 24 years,Female,13.8
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 74 years,Both sexes,96.7
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 74 years,Male,53.3
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 74 years,Female,43.4
Seasonally Adjusted Monthly Unemployment,1999 November,25 - 74 years,Both sexes,64.3
Seasonally Adjusted Monthly Unemployment,1999 November,25 - 74 years,Male,34.8
Seasonally Adjusted Monthly Unemployment,1999 November,25 - 74 years,Female,29.5
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 24 years,Both sexes,32.0
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 24 years,Male,18.0
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 24 years,Female,14.0
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 74 years,Both sexes,94.3
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 74 years,Male,52.2
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 74 years,Female,42.1
Seasonally Adjusted Monthly Unemployment,1999 December,25 - 74 years,Both sexes,62.3
Seasonally Adjusted Monthly Unemployment,1999 December,25 - 74 years,Male,34.3
Seasonally Adjusted Monthly Unemployment,1999 December,25 - 74 years,Female,28.0
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 24 years,Both sexes,31.3
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 24 years,Male,17.2
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 24 years,Female,14.1
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 74 years,Both sexes,90.4
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 74 years,Male,50.8
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 74 years,Female,39.6
Seasonally Adjusted Monthly Unemployment,2000 January,25 - 74 years,Both sexes,59.0
Seasonally Adjusted Monthly Unemployment,2000 January,25 - 74 years,Male,33.6
Seasonally Adjusted Monthly Unemployment,2000 January,25 - 74 years,Female,25.5
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 24 years,Both sexes,30.6
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 24 years,Male,16.4
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 24 years,Female,14.3
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 74 years,Both sexes,87.6
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 74 years,Male,49.3
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 74 years,Female,38.3
Seasonally Adjusted Monthly Unemployment,2000 February,25 - 74 years,Both sexes,57.0
Seasonally Adjusted Monthly Unemployment,2000 February,25 - 74 years,Male,32.9
Seasonally Adjusted Monthly Unemployment,2000 February,25 - 74 years,Female,24.1
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 24 years,Both sexes,29.9
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 24 years,Male,16.0
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 24 years,Female,13.9
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 74 years,Both sexes,85.5
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 74 years,Male,48.1
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 74 years,Female,37.4
Seasonally Adjusted Monthly Unemployment,2000 March,25 - 74 years,Both sexes,55.5
Seasonally Adjusted Monthly Unemployment,2000 March,25 - 74 years,Male,32.1
Seasonally Adjusted Monthly Unemployment,2000 March,25 - 74 years,Female,23.4
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 24 years,Both sexes,29.9
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 24 years,Male,16.2
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 24 years,Female,13.7
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 74 years,Both sexes,87.1
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 74 years,Male,48.0
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 74 years,Female,39.1
Seasonally Adjusted Monthly Unemployment,2000 April,25 - 74 years,Both sexes,57.2
Seasonally Adjusted Monthly Unemployment,2000 April,25 - 74 years,Male,31.8
Seasonally Adjusted Monthly Unemployment,2000 April,25 - 74 years,Female,25.4
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 24 years,Both sexes,29.1
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 24 years,Male,16.1
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 24 years,Female,13.0
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 74 years,Both sexes,85.2
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 74 years,Male,47.3
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 74 years,Female,37.9
Seasonally Adjusted Monthly Unemployment,2000 May,25 - 74 years,Both sexes,56.1
Seasonally Adjusted Monthly Unemployment,2000 May,25 - 74 years,Male,31.2
Seasonally Adjusted Monthly Unemployment,2000 May,25 - 74 years,Female,24.9
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 24 years,Both sexes,28.8
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 24 years,Male,16.1
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 24 years,Female,12.7
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 74 years,Both sexes,83.6
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 74 years,Male,46.5
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 74 years,Female,37.1
Seasonally Adjusted Monthly Unemployment,2000 June,25 - 74 years,Both sexes,54.8
Seasonally Adjusted Monthly Unemployment,2000 June,25 - 74 years,Male,30.4
Seasonally Adjusted Monthly Unemployment,2000 June,25 - 74 years,Female,24.4
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 24 years,Both sexes,28.5
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 24 years,Male,16.2
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 24 years,Female,12.3
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 74 years,Both sexes,81.0
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 74 years,Male,45.7
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 74 years,Female,35.3
Seasonally Adjusted Monthly Unemployment,2000 July,25 - 74 years,Both sexes,52.4
Seasonally Adjusted Monthly Unemployment,2000 July,25 - 74 years,Male,29.5
Seasonally Adjusted Monthly Unemployment,2000 July,25 - 74 years,Female,22.9
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 24 years,Both sexes,28.2
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 24 years,Male,16.0
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 24 years,Female,12.2
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 74 years,Both sexes,78.8
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 74 years,Male,44.9
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 74 years,Female,33.9
Seasonally Adjusted Monthly Unemployment,2000 August,25 - 74 years,Both sexes,50.7
Seasonally Adjusted Monthly Unemployment,2000 August,25 - 74 years,Male,28.9
Seasonally Adjusted Monthly Unemployment,2000 August,25 - 74 years,Female,21.8
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 24 years,Both sexes,27.3
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 24 years,Male,15.3
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 24 years,Female,12.0
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 74 years,Both sexes,75.8
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 74 years,Male,43.4
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 74 years,Female,32.4
Seasonally Adjusted Monthly Unemployment,2000 September,25 - 74 years,Both sexes,48.5
Seasonally Adjusted Monthly Unemployment,2000 September,25 - 74 years,Male,28.1
Seasonally Adjusted Monthly Unemployment,2000 September,25 - 74 years,Female,20.4
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 24 years,Both sexes,26.7
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 24 years,Male,14.7
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 24 years,Female,12.1
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 74 years,Both sexes,73.1
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 74 years,Male,42.0
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 74 years,Female,31.1
Seasonally Adjusted Monthly Unemployment,2000 October,25 - 74 years,Both sexes,46.4
Seasonally Adjusted Monthly Unemployment,2000 October,25 - 74 years,Male,27.4
Seasonally Adjusted Monthly Unemployment,2000 October,25 - 74 years,Female,19.1
Seasonally Adjusted Monthly Unemployment,2000 November,15 - 24 years,Both sexes,26.2
Seasonally Adjusted Monthly Unemployment,2000 November,15 - 24 years,Male,14.2
Seasonally Adjusted Monthly Unemployment,2000 November,15 - 24 years,Female,12.0
Seasonally Adjusted Monthly Unemployment,2000 November,15 - 74 years,Both sexes,72.4
Seasonally Adjusted Monthly Unemployment,2000 November,15 - 74 years,Male,41.2
Seasonally Adjusted Monthly Unemployment,2000 November,15 - 74 years,Female,31.2
Seasonally Adjusted Monthly Unemployment,2000 November,25 - 74 years,Both sexes,46.2
Seasonally Adjusted Monthly Unemployment,2000 November,25 - 74 years,Male,26.9
Seasonally Adjusted Monthly Unemployment,2000 November,25 - 74 years,Female,19.3
Seasonally Adjusted Monthly Unemployment,2000 December,15 - 24 years,Both sexes,26.6
Seasonally Adjusted Monthly Unemployment,2000 December,15 - 24 years,Male,14.9
Seasonally Adjusted Monthly Unemployment,2000 December,15 - 24 years,Female,11.7
Seasonally Adjusted Monthly Unemployment,2000 December,15 - 74 years,Both sexes,73.1
Seasonally Adjusted Monthly Unemployment,2000 December,15 - 74 years,Male,41.5
Seasonally Adjusted Monthly Unemployment,2000 December,15 - 74 years,Female,31.5
Seasonally Adjusted Monthly Unemployment,2000 December,25 - 74 years,Both sexes,46.4
Seasonally Adjusted Monthly Unemployment,2000 December,25 - 74 years,Male,26.6
Seasonally Adjusted Monthly Unemployment,2000 December,25 - 74 years,Female,19.9
Seasonally Adjusted Monthly Unemployment,2001 January,15 - 24 years,Both sexes,26.5
Seasonally Adjusted Monthly Unemployment,2001 January,15 - 24 years,Male,15.5
Seasonally Adjusted Monthly Unemployment,2001 January,15 - 24 years,Female,11.0
Seasonally Adjusted Monthly Unemployment,2001 January,15 - 74 years,Both sexes,73.9
Seasonally Adjusted Monthly Unemployment,2001 January,15 - 74 years,Male,41.6
Seasonally Adjusted Monthly Unemployment,2001 January,15 - 74 years,Female,32.3
Seasonally Adjusted Monthly Unemployment,2001 January,25 - 74 years,Both sexes,47.4
Seasonally Adjusted Monthly Unemployment,2001 January,25 - 74 years,Male,26.2
Seasonally Adjusted Monthly Unemployment,2001 January,25 - 74 years,Female,21.2
Seasonally Adjusted Monthly Unemployment,2001 February,15 - 24 years,Both sexes,26.9
Seasonally Adjusted Monthly Unemployment,2001 February,15 - 24 years,Male,15.9
Seasonally Adjusted Monthly Unemployment,2001 February,15 - 24 years,Female,11.0
Seasonally Adjusted Monthly Unemployment,2001 February,15 - 74 years,Both sexes,74.1
Seasonally Adjusted Monthly Unemployment,2001 February,15 - 74 years,Male,41.6
Seasonally Adjusted Monthly Unemployment,2001 February,15 - 74 years,Female,32.5
Seasonally Adjusted Monthly Unemployment,2001 February,25 - 74 years,Both sexes,47.2
