Statistic,Month,NACE.Group,value
Retail Sales Index Value Unadjusted,2015 May,"All retail businesses, excluding motor trades and bars",93.6
Retail Sales Index Value Unadjusted,2015 May,"All retail businesses, excluding motor trades",94.1
Retail Sales Index Value Unadjusted,2015 May,"All retail businesses, excluding motor trades, automotive fuel and bars",92.7
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of food (4711,4721 to 4729)",98.7
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",87.3
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",94.7
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",88.0
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of electrical goods (4741 to 4743,4754)",86.6
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",91.5
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",79.0
Retail Sales Index Value Unadjusted,2015 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",79.5
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of books, newspapers and stationery (4761,4762)",76.5
Retail Sales Index Value Unadjusted,2015 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",90.9
Retail Sales Index Value Unadjusted,2015 June,Motor trades (45),71.7
Retail Sales Index Value Unadjusted,2015 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",98.0
Retail Sales Index Value Unadjusted,2015 June,Department stores (4719),98.4
Retail Sales Index Value Unadjusted,2015 June,Retail sale of automotive fuel (4730),111.3
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of hardware, paints and glass (4752)",111.4
Retail Sales Index Value Unadjusted,2015 June,Retail sale of furniture and lighting (4759),97.7
Retail Sales Index Value Unadjusted,2015 June,Bars (5630),97.1
Retail Sales Index Value Unadjusted,2015 June,All retail businesses,90.3
Retail Sales Index Value Unadjusted,2015 June,"Motor trades and automotive fuel (45,4730)",77.5
Retail Sales Index Value Unadjusted,2015 June,"All retail businesses, excluding motor trades and bars",97.3
Retail Sales Index Value Unadjusted,2015 June,"All retail businesses, excluding motor trades",97.3
Retail Sales Index Value Unadjusted,2015 June,"All retail businesses, excluding motor trades, automotive fuel and bars",96.3
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of food (4711,4721 to 4729)",97.8
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",94.9
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",96.0
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",98.0
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of electrical goods (4741 to 4743,4754)",87.8
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",100.2
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",80.8
Retail Sales Index Value Unadjusted,2015 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",77.1
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of books, newspapers and stationery (4761,4762)",97.8
Retail Sales Index Value Unadjusted,2015 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",97.6
Retail Sales Index Value Unadjusted,2015 July,Motor trades (45),140.8
Retail Sales Index Value Unadjusted,2015 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",99.8
Retail Sales Index Value Unadjusted,2015 July,Department stores (4719),90.3
Retail Sales Index Value Unadjusted,2015 July,Retail sale of automotive fuel (4730),101.8
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of hardware, paints and glass (4752)",107.8
Retail Sales Index Value Unadjusted,2015 July,Retail sale of furniture and lighting (4759),77.9
Retail Sales Index Value Unadjusted,2015 July,Bars (5630),110.0
Retail Sales Index Value Unadjusted,2015 July,All retail businesses,108.9
Retail Sales Index Value Unadjusted,2015 July,"Motor trades and automotive fuel (45,4730)",135.1
Retail Sales Index Value Unadjusted,2015 July,"All retail businesses, excluding motor trades and bars",96.1
Retail Sales Index Value Unadjusted,2015 July,"All retail businesses, excluding motor trades",96.9
Retail Sales Index Value Unadjusted,2015 July,"All retail businesses, excluding motor trades, automotive fuel and bars",95.7
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of food (4711,4721 to 4729)",99.8
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",92.0
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",100.3
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",87.5
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of electrical goods (4741 to 4743,4754)",85.7
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.0
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",84.2
Retail Sales Index Value Unadjusted,2015 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",79.4
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of books, newspapers and stationery (4761,4762)",106.1
Retail Sales Index Value Unadjusted,2015 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",95.8
Retail Sales Index Value Unadjusted,2015 August,Motor trades (45),91.7
Retail Sales Index Value Unadjusted,2015 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",97.5
Retail Sales Index Value Unadjusted,2015 August,Department stores (4719),90.1
Retail Sales Index Value Unadjusted,2015 August,Retail sale of automotive fuel (4730),99.5
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of hardware, paints and glass (4752)",101.1
Retail Sales Index Value Unadjusted,2015 August,Retail sale of furniture and lighting (4759),102.7
Retail Sales Index Value Unadjusted,2015 August,Bars (5630),116.0
Retail Sales Index Value Unadjusted,2015 August,All retail businesses,96.5
Retail Sales Index Value Unadjusted,2015 August,"Motor trades and automotive fuel (45,4730)",92.8
Retail Sales Index Value Unadjusted,2015 August,"All retail businesses, excluding motor trades and bars",97.3
Retail Sales Index Value Unadjusted,2015 August,"All retail businesses, excluding motor trades",98.3
Retail Sales Index Value Unadjusted,2015 August,"All retail businesses, excluding motor trades, automotive fuel and bars",97.1
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of food (4711,4721 to 4729)",97.5
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",96.7
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",98.0
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.3
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of electrical goods (4741 to 4743,4754)",99.4
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",105.3
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",81.5
Retail Sales Index Value Unadjusted,2015 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",73.0
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of books, newspapers and stationery (4761,4762)",120.4
Retail Sales Index Value Unadjusted,2015 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",97.7
Retail Sales Index Value Unadjusted,2015 September,Motor trades (45),85.4
Retail Sales Index Value Unadjusted,2015 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",95.9
Retail Sales Index Value Unadjusted,2015 September,Department stores (4719),88.1
Retail Sales Index Value Unadjusted,2015 September,Retail sale of automotive fuel (4730),101.7
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of hardware, paints and glass (4752)",95.7
Retail Sales Index Value Unadjusted,2015 September,Retail sale of furniture and lighting (4759),107.1
Retail Sales Index Value Unadjusted,2015 September,Bars (5630),106.6
Retail Sales Index Value Unadjusted,2015 September,All retail businesses,93.9
Retail Sales Index Value Unadjusted,2015 September,"Motor trades and automotive fuel (45,4730)",87.7
Retail Sales Index Value Unadjusted,2015 September,"All retail businesses, excluding motor trades and bars",96.5
Retail Sales Index Value Unadjusted,2015 September,"All retail businesses, excluding motor trades",97.1
Retail Sales Index Value Unadjusted,2015 September,"All retail businesses, excluding motor trades, automotive fuel and bars",96.1
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of food (4711,4721 to 4729)",95.7
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",96.5
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",94.3
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",102.7
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of electrical goods (4741 to 4743,4754)",101.6
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",93.6
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",94.7
Retail Sales Index Value Unadjusted,2015 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",90.0
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of books, newspapers and stationery (4761,4762)",116.3
Retail Sales Index Value Unadjusted,2015 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",94.1
Retail Sales Index Value Unadjusted,2015 October,Motor trades (45),63.7
Retail Sales Index Value Unadjusted,2015 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.1
Retail Sales Index Value Unadjusted,2015 October,Department stores (4719),92.8
Retail Sales Index Value Unadjusted,2015 October,Retail sale of automotive fuel (4730),97.5
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of hardware, paints and glass (4752)",95.1
Retail Sales Index Value Unadjusted,2015 October,Retail sale of furniture and lighting (4759),90.5
Retail Sales Index Value Unadjusted,2015 October,Bars (5630),106.3
Retail Sales Index Value Unadjusted,2015 October,All retail businesses,89.0
Retail Sales Index Value Unadjusted,2015 October,"Motor trades and automotive fuel (45,4730)",68.6
Retail Sales Index Value Unadjusted,2015 October,"All retail businesses, excluding motor trades and bars",98.0
Retail Sales Index Value Unadjusted,2015 October,"All retail businesses, excluding motor trades",98.5
Retail Sales Index Value Unadjusted,2015 October,"All retail businesses, excluding motor trades, automotive fuel and bars",98.1
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of food (4711,4721 to 4729)",102.0
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",94.5
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",101.5
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",92.6
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of electrical goods (4741 to 4743,4754)",93.8
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",99.0
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",94.8
Retail Sales Index Value Unadjusted,2015 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",95.8
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of books, newspapers and stationery (4761,4762)",90.2
Retail Sales Index Value Unadjusted,2015 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",91.7
Retail Sales Index Value Unadjusted,2015 November,Motor trades (45),49.7
Retail Sales Index Value Unadjusted,2015 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",106.7
Retail Sales Index Value Unadjusted,2015 November,Department stores (4719),123.1
Retail Sales Index Value Unadjusted,2015 November,Retail sale of automotive fuel (4730),100.6
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of hardware, paints and glass (4752)",98.7
Retail Sales Index Value Unadjusted,2015 November,Retail sale of furniture and lighting (4759),113.4
Retail Sales Index Value Unadjusted,2015 November,Bars (5630),100.9
Retail Sales Index Value Unadjusted,2015 November,All retail businesses,93.7
Retail Sales Index Value Unadjusted,2015 November,"Motor trades and automotive fuel (45,4730)",57.1
Retail Sales Index Value Unadjusted,2015 November,"All retail businesses, excluding motor trades and bars",110.9
Retail Sales Index Value Unadjusted,2015 November,"All retail businesses, excluding motor trades",110.3
Retail Sales Index Value Unadjusted,2015 November,"All retail businesses, excluding motor trades, automotive fuel and bars",111.6
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of food (4711,4721 to 4729)",106.2
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",116.6
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",101.2
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",113.8
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of electrical goods (4741 to 4743,4754)",126.3
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",109.3
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",137.6
Retail Sales Index Value Unadjusted,2015 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",145.7
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of books, newspapers and stationery (4761,4762)",100.6
Retail Sales Index Value Unadjusted,2015 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",104.3
Retail Sales Index Value Unadjusted,2015 December,Motor trades (45),34.6
Retail Sales Index Value Unadjusted,2015 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",119.7
Retail Sales Index Value Unadjusted,2015 December,Department stores (4719),197.8
Retail Sales Index Value Unadjusted,2015 December,Retail sale of automotive fuel (4730),93.2
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of hardware, paints and glass (4752)",105.1
Retail Sales Index Value Unadjusted,2015 December,Retail sale of furniture and lighting (4759),136.0
Retail Sales Index Value Unadjusted,2015 December,Bars (5630),125.3
Retail Sales Index Value Unadjusted,2015 December,All retail businesses,114.4
Retail Sales Index Value Unadjusted,2015 December,"Motor trades and automotive fuel (45,4730)",43.1
Retail Sales Index Value Unadjusted,2015 December,"All retail businesses, excluding motor trades and bars",145.6
Retail Sales Index Value Unadjusted,2015 December,"All retail businesses, excluding motor trades",144.5
Retail Sales Index Value Unadjusted,2015 December,"All retail businesses, excluding motor trades, automotive fuel and bars",149.5
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of food (4711,4721 to 4729)",122.6
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",173.8
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",148.5
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",141.9
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of electrical goods (4741 to 4743,4754)",179.6
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",170.8
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",226.5
Retail Sales Index Value Unadjusted,2015 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",238.8
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of books, newspapers and stationery (4761,4762)",170.2
Retail Sales Index Value Unadjusted,2015 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",162.3
Retail Sales Index Value Unadjusted,2016 January,Motor trades (45),216.9
Retail Sales Index Value Unadjusted,2016 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",93.8
Retail Sales Index Value Unadjusted,2016 January,Department stores (4719),78.7
Retail Sales Index Value Unadjusted,2016 January,Retail sale of automotive fuel (4730),86.4
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of hardware, paints and glass (4752)",83.8
Retail Sales Index Value Unadjusted,2016 January,Retail sale of furniture and lighting (4759),118.5
Retail Sales Index Value Unadjusted,2016 January,Bars (5630),76.5
Retail Sales Index Value Unadjusted,2016 January,All retail businesses,122.7
Retail Sales Index Value Unadjusted,2016 January,"Motor trades and automotive fuel (45,4730)",198.4
Retail Sales Index Value Unadjusted,2016 January,"All retail businesses, excluding motor trades and bars",87.9
Retail Sales Index Value Unadjusted,2016 January,"All retail businesses, excluding motor trades",87.3
Retail Sales Index Value Unadjusted,2016 January,"All retail businesses, excluding motor trades, automotive fuel and bars",88.0
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of food (4711,4721 to 4729)",92.6
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",83.9
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",82.1
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",100.1
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of electrical goods (4741 to 4743,4754)",93.6
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",78.6
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",69.9
Retail Sales Index Value Unadjusted,2016 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",69.4
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of books, newspapers and stationery (4761,4762)",73.8
Retail Sales Index Value Unadjusted,2016 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",89.0
Retail Sales Index Value Unadjusted,2016 February,Motor trades (45),182.1
Retail Sales Index Value Unadjusted,2016 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",100.2
