Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Price Index (Excl VAT),2015 January,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 January,Manufacturing industries (home sales),100.2
Industrial Price Index (Excl VAT),2015 January,Manufacturing industries (export sales),96.8
Industrial Price Index (Excl VAT),2015 January,Manufacturing industries (10 to 33),97.0
Industrial Price Index (Excl VAT),2015 January,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 January,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",96.6
Industrial Price Index (Excl VAT),2015 February,Food products (10),100.5
Industrial Price Index (Excl VAT),2015 February,Meat and meat products (101),100.3
Industrial Price Index (Excl VAT),2015 February,"Fish, crustaceans and molluscs (102)",99.9
Industrial Price Index (Excl VAT),2015 February,Fruit and vegetables (103),99.8
Industrial Price Index (Excl VAT),2015 February,"Vegetable, animal oils and fats (104)",98.1
Industrial Price Index (Excl VAT),2015 February,Dairy products (105),103.6
Industrial Price Index (Excl VAT),2015 February,"Grain mill and starch products, prepared animal feeds (106,109)",98.0
Industrial Price Index (Excl VAT),2015 February,Bakery and farinaceous products (107),98.3
Industrial Price Index (Excl VAT),2015 February,Other food products (108),100.3
Industrial Price Index (Excl VAT),2015 February,Manufacture of beverages (11),97.9
Industrial Price Index (Excl VAT),2015 February,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 February,Textiles (13),99.5
Industrial Price Index (Excl VAT),2015 February,Wearing apparel (14),100.0
Industrial Price Index (Excl VAT),2015 February,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 February,"Wood and wood products, except furniture (16)",99.3
Industrial Price Index (Excl VAT),2015 February,Paper and paper products (17),99.8
Industrial Price Index (Excl VAT),2015 February,Printing and reproduction of recorded media (18),98.7
Industrial Price Index (Excl VAT),2015 February,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 February,Chemicals and chemical products (20),100.2
Industrial Price Index (Excl VAT),2015 February,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 February,Rubber and plastic products (22),101.0
Industrial Price Index (Excl VAT),2015 February,Other non-metallic mineral products (23),98.3
Industrial Price Index (Excl VAT),2015 February,Basic metals (24),98.1
Industrial Price Index (Excl VAT),2015 February,"Fabricated metal products, except machinery and equipment (25)",99.4
Industrial Price Index (Excl VAT),2015 February,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 February,Electrical equipment (27),98.5
Industrial Price Index (Excl VAT),2015 February,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 February,"Motor vehicles, trailers and semi-trailers (29)",99.9
Industrial Price Index (Excl VAT),2015 February,Other transport equipment (30),99.8
Industrial Price Index (Excl VAT),2015 February,Furniture (31),98.2
Industrial Price Index (Excl VAT),2015 February,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 February,Mining and quarrying (05 to 09),101.5
Industrial Price Index (Excl VAT),2015 February,Transportable goods industries (05 to 33),98.8
Industrial Price Index (Excl VAT),2015 February,"Food products, beverages and tobacco (10 to 12)",100.2
Industrial Price Index (Excl VAT),2015 February,"Manufacturing, excluding food (11 to 33)",98.6
Industrial Price Index (Excl VAT),2015 February,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 February,Capital goods,
Industrial Price Index (Excl VAT),2015 February,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 February,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 February,Manufacturing industries (home sales),99.6
Industrial Price Index (Excl VAT),2015 February,Manufacturing industries (export sales),98.8
Industrial Price Index (Excl VAT),2015 February,Manufacturing industries (10 to 33),98.8
Industrial Price Index (Excl VAT),2015 February,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 February,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",98.6
Industrial Price Index (Excl VAT),2015 March,Food products (10),102.2
Industrial Price Index (Excl VAT),2015 March,Meat and meat products (101),101.0
Industrial Price Index (Excl VAT),2015 March,"Fish, crustaceans and molluscs (102)",100.7
Industrial Price Index (Excl VAT),2015 March,Fruit and vegetables (103),101.5
Industrial Price Index (Excl VAT),2015 March,"Vegetable, animal oils and fats (104)",101.4
Industrial Price Index (Excl VAT),2015 March,Dairy products (105),101.7
Industrial Price Index (Excl VAT),2015 March,"Grain mill and starch products, prepared animal feeds (106,109)",98.3
Industrial Price Index (Excl VAT),2015 March,Bakery and farinaceous products (107),100.2
Industrial Price Index (Excl VAT),2015 March,Other food products (108),103.4
Industrial Price Index (Excl VAT),2015 March,Manufacture of beverages (11),98.2
Industrial Price Index (Excl VAT),2015 March,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 March,Textiles (13),99.6
Industrial Price Index (Excl VAT),2015 March,Wearing apparel (14),100.0
Industrial Price Index (Excl VAT),2015 March,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 March,"Wood and wood products, except furniture (16)",99.9
Industrial Price Index (Excl VAT),2015 March,Paper and paper products (17),100.4
Industrial Price Index (Excl VAT),2015 March,Printing and reproduction of recorded media (18),100.1
Industrial Price Index (Excl VAT),2015 March,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 March,Chemicals and chemical products (20),100.5
Industrial Price Index (Excl VAT),2015 March,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 March,Rubber and plastic products (22),101.6
Industrial Price Index (Excl VAT),2015 March,Other non-metallic mineral products (23),101.9
Industrial Price Index (Excl VAT),2015 March,Basic metals (24),101.5
Industrial Price Index (Excl VAT),2015 March,"Fabricated metal products, except machinery and equipment (25)",101.5
Industrial Price Index (Excl VAT),2015 March,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 March,Electrical equipment (27),104.1
Industrial Price Index (Excl VAT),2015 March,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 March,"Motor vehicles, trailers and semi-trailers (29)",100.0
Industrial Price Index (Excl VAT),2015 March,Other transport equipment (30),99.8
Industrial Price Index (Excl VAT),2015 March,Furniture (31),99.1
Industrial Price Index (Excl VAT),2015 March,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 March,Mining and quarrying (05 to 09),101.7
Industrial Price Index (Excl VAT),2015 March,Transportable goods industries (05 to 33),101.1
Industrial Price Index (Excl VAT),2015 March,"Food products, beverages and tobacco (10 to 12)",101.8
Industrial Price Index (Excl VAT),2015 March,"Manufacturing, excluding food (11 to 33)",100.9
Industrial Price Index (Excl VAT),2015 March,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 March,Capital goods,
Industrial Price Index (Excl VAT),2015 March,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 March,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 March,Manufacturing industries (home sales),99.9
Industrial Price Index (Excl VAT),2015 March,Manufacturing industries (export sales),101.1
Industrial Price Index (Excl VAT),2015 March,Manufacturing industries (10 to 33),101.1
Industrial Price Index (Excl VAT),2015 March,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 March,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",100.9
Industrial Price Index (Excl VAT),2015 April,Food products (10),101.9
Industrial Price Index (Excl VAT),2015 April,Meat and meat products (101),101.6
Industrial Price Index (Excl VAT),2015 April,"Fish, crustaceans and molluscs (102)",100.4
Industrial Price Index (Excl VAT),2015 April,Fruit and vegetables (103),101.3
Industrial Price Index (Excl VAT),2015 April,"Vegetable, animal oils and fats (104)",100.8
Industrial Price Index (Excl VAT),2015 April,Dairy products (105),101.5
Industrial Price Index (Excl VAT),2015 April,"Grain mill and starch products, prepared animal feeds (106,109)",98.3
Industrial Price Index (Excl VAT),2015 April,Bakery and farinaceous products (107),100.7
Industrial Price Index (Excl VAT),2015 April,Other food products (108),102.5
Industrial Price Index (Excl VAT),2015 April,Manufacture of beverages (11),98.1
Industrial Price Index (Excl VAT),2015 April,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 April,Textiles (13),99.6
Industrial Price Index (Excl VAT),2015 April,Wearing apparel (14),100.0
Industrial Price Index (Excl VAT),2015 April,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 April,"Wood and wood products, except furniture (16)",100.4
Industrial Price Index (Excl VAT),2015 April,Paper and paper products (17),100.0
Industrial Price Index (Excl VAT),2015 April,Printing and reproduction of recorded media (18),99.9
Industrial Price Index (Excl VAT),2015 April,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 April,Chemicals and chemical products (20),100.1
Industrial Price Index (Excl VAT),2015 April,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 April,Rubber and plastic products (22),101.4
Industrial Price Index (Excl VAT),2015 April,Other non-metallic mineral products (23),100.9
Industrial Price Index (Excl VAT),2015 April,Basic metals (24),101.3
Industrial Price Index (Excl VAT),2015 April,"Fabricated metal products, except machinery and equipment (25)",100.4
Industrial Price Index (Excl VAT),2015 April,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 April,Electrical equipment (27),104.2
Industrial Price Index (Excl VAT),2015 April,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 April,"Motor vehicles, trailers and semi-trailers (29)",100.0
Industrial Price Index (Excl VAT),2015 April,Other transport equipment (30),99.8
Industrial Price Index (Excl VAT),2015 April,Furniture (31),99.1
Industrial Price Index (Excl VAT),2015 April,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 April,Mining and quarrying (05 to 09),106.5
Industrial Price Index (Excl VAT),2015 April,Transportable goods industries (05 to 33),102.5
Industrial Price Index (Excl VAT),2015 April,"Food products, beverages and tobacco (10 to 12)",101.5
Industrial Price Index (Excl VAT),2015 April,"Manufacturing, excluding food (11 to 33)",102.5
Industrial Price Index (Excl VAT),2015 April,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 April,Capital goods,
Industrial Price Index (Excl VAT),2015 April,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 April,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 April,Manufacturing industries (home sales),99.8
Industrial Price Index (Excl VAT),2015 April,Manufacturing industries (export sales),102.6
Industrial Price Index (Excl VAT),2015 April,Manufacturing industries (10 to 33),102.4
Industrial Price Index (Excl VAT),2015 April,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 April,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",102.6
Industrial Price Index (Excl VAT),2015 May,Food products (10),100.5
Industrial Price Index (Excl VAT),2015 May,Meat and meat products (101),101.5
Industrial Price Index (Excl VAT),2015 May,"Fish, crustaceans and molluscs (102)",100.0
Industrial Price Index (Excl VAT),2015 May,Fruit and vegetables (103),101.0
Industrial Price Index (Excl VAT),2015 May,"Vegetable, animal oils and fats (104)",100.2
Industrial Price Index (Excl VAT),2015 May,Dairy products (105),103.7
Industrial Price Index (Excl VAT),2015 May,"Grain mill and starch products, prepared animal feeds (106,109)",98.5
Industrial Price Index (Excl VAT),2015 May,Bakery and farinaceous products (107),100.4
Industrial Price Index (Excl VAT),2015 May,Other food products (108),99.7
Industrial Price Index (Excl VAT),2015 May,Manufacture of beverages (11),98.1
Industrial Price Index (Excl VAT),2015 May,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 May,Textiles (13),100.0
Industrial Price Index (Excl VAT),2015 May,Wearing apparel (14),100.0
Industrial Price Index (Excl VAT),2015 May,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 May,"Wood and wood products, except furniture (16)",101.4
Industrial Price Index (Excl VAT),2015 May,Paper and paper products (17),99.9
Industrial Price Index (Excl VAT),2015 May,Printing and reproduction of recorded media (18),99.7
Industrial Price Index (Excl VAT),2015 May,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 May,Chemicals and chemical products (20),99.9
Industrial Price Index (Excl VAT),2015 May,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 May,Rubber and plastic products (22),99.1
Industrial Price Index (Excl VAT),2015 May,Other non-metallic mineral products (23),100.7
Industrial Price Index (Excl VAT),2015 May,Basic metals (24),102.1
Industrial Price Index (Excl VAT),2015 May,"Fabricated metal products, except machinery and equipment (25)",99.9
Industrial Price Index (Excl VAT),2015 May,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 May,Electrical equipment (27),99.8
Industrial Price Index (Excl VAT),2015 May,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 May,"Motor vehicles, trailers and semi-trailers (29)",100.0
Industrial Price Index (Excl VAT),2015 May,Other transport equipment (30),99.8
Industrial Price Index (Excl VAT),2015 May,Furniture (31),99.1
Industrial Price Index (Excl VAT),2015 May,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 May,Mining and quarrying (05 to 09),103.2
Industrial Price Index (Excl VAT),2015 May,Transportable goods industries (05 to 33),100.2
Industrial Price Index (Excl VAT),2015 May,"Food products, beverages and tobacco (10 to 12)",100.3
Industrial Price Index (Excl VAT),2015 May,"Manufacturing, excluding food (11 to 33)",100.1
Industrial Price Index (Excl VAT),2015 May,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 May,Capital goods,
Industrial Price Index (Excl VAT),2015 May,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 May,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 May,Manufacturing industries (home sales),100.0
Industrial Price Index (Excl VAT),2015 May,Manufacturing industries (export sales),100.2
Industrial Price Index (Excl VAT),2015 May,Manufacturing industries (10 to 33),100.2
Industrial Price Index (Excl VAT),2015 May,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 May,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",100.2
Industrial Price Index (Excl VAT),2015 June,Food products (10),100.2
Industrial Price Index (Excl VAT),2015 June,Meat and meat products (101),101.6
Industrial Price Index (Excl VAT),2015 June,"Fish, crustaceans and molluscs (102)",99.5
Industrial Price Index (Excl VAT),2015 June,Fruit and vegetables (103),100.9
Industrial Price Index (Excl VAT),2015 June,"Vegetable, animal oils and fats (104)",100.0
Industrial Price Index (Excl VAT),2015 June,Dairy products (105),102.4
Industrial Price Index (Excl VAT),2015 June,"Grain mill and starch products, prepared animal feeds (106,109)",98.3
Industrial Price Index (Excl VAT),2015 June,Bakery and farinaceous products (107),100.3
Industrial Price Index (Excl VAT),2015 June,Other food products (108),99.3
Industrial Price Index (Excl VAT),2015 June,Manufacture of beverages (11),98.0
Industrial Price Index (Excl VAT),2015 June,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 June,Textiles (13),100.0
Industrial Price Index (Excl VAT),2015 June,Wearing apparel (14),100.0
Industrial Price Index (Excl VAT),2015 June,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 June,"Wood and wood products, except furniture (16)",100.8
Industrial Price Index (Excl VAT),2015 June,Paper and paper products (17),99.8
Industrial Price Index (Excl VAT),2015 June,Printing and reproduction of recorded media (18),99.7
Industrial Price Index (Excl VAT),2015 June,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 June,Chemicals and chemical products (20),99.9
Industrial Price Index (Excl VAT),2015 June,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 June,Rubber and plastic products (22),99.1
Industrial Price Index (Excl VAT),2015 June,Other non-metallic mineral products (23),101.2
Industrial Price Index (Excl VAT),2015 June,Basic metals (24),102.6
Industrial Price Index (Excl VAT),2015 June,"Fabricated metal products, except machinery and equipment (25)",99.9
Industrial Price Index (Excl VAT),2015 June,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 June,Electrical equipment (27),100.8
Industrial Price Index (Excl VAT),2015 June,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 June,"Motor vehicles, trailers and semi-trailers (29)",100.0
Industrial Price Index (Excl VAT),2015 June,Other transport equipment (30),99.8
Industrial Price Index (Excl VAT),2015 June,Furniture (31),99.5
Industrial Price Index (Excl VAT),2015 June,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 June,Mining and quarrying (05 to 09),100.9
Industrial Price Index (Excl VAT),2015 June,Transportable goods industries (05 to 33),99.8
Industrial Price Index (Excl VAT),2015 June,"Food products, beverages and tobacco (10 to 12)",99.9
Industrial Price Index (Excl VAT),2015 June,"Manufacturing, excluding food (11 to 33)",99.8
Industrial Price Index (Excl VAT),2015 June,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 June,Capital goods,
Industrial Price Index (Excl VAT),2015 June,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 June,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 June,Manufacturing industries (home sales),99.9
Industrial Price Index (Excl VAT),2015 June,Manufacturing industries (export sales),99.8
Industrial Price Index (Excl VAT),2015 June,Manufacturing industries (10 to 33),99.8
Industrial Price Index (Excl VAT),2015 June,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 June,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",99.8
Industrial Price Index (Excl VAT),2015 July,Food products (10),101.2
Industrial Price Index (Excl VAT),2015 July,Meat and meat products (101),102.0
Industrial Price Index (Excl VAT),2015 July,"Fish, crustaceans and molluscs (102)",99.6
Industrial Price Index (Excl VAT),2015 July,Fruit and vegetables (103),97.1
Industrial Price Index (Excl VAT),2015 July,"Vegetable, animal oils and fats (104)",102.8
Industrial Price Index (Excl VAT),2015 July,Dairy products (105),100.4
Industrial Price Index (Excl VAT),2015 July,"Grain mill and starch products, prepared animal feeds (106,109)",102.1
Industrial Price Index (Excl VAT),2015 July,Bakery and farinaceous products (107),101.6
Industrial Price Index (Excl VAT),2015 July,Other food products (108),101.0
Industrial Price Index (Excl VAT),2015 July,Manufacture of beverages (11),102.2
Industrial Price Index (Excl VAT),2015 July,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 July,Textiles (13),100.0
Industrial Price Index (Excl VAT),2015 July,Wearing apparel (14),100.0
Industrial Price Index (Excl VAT),2015 July,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 July,"Wood and wood products, except furniture (16)",101.5
Industrial Price Index (Excl VAT),2015 July,Paper and paper products (17),100.6
Industrial Price Index (Excl VAT),2015 July,Printing and reproduction of recorded media (18),100.1
Industrial Price Index (Excl VAT),2015 July,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 July,Chemicals and chemical products (20),100.0
Industrial Price Index (Excl VAT),2015 July,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 July,Rubber and plastic products (22),99.8
Industrial Price Index (Excl VAT),2015 July,Other non-metallic mineral products (23),102.1
Industrial Price Index (Excl VAT),2015 July,Basic metals (24),103.8
Industrial Price Index (Excl VAT),2015 July,"Fabricated metal products, except machinery and equipment (25)",101.0
Industrial Price Index (Excl VAT),2015 July,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 July,Electrical equipment (27),102.4
Industrial Price Index (Excl VAT),2015 July,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 July,"Motor vehicles, trailers and semi-trailers (29)",100.0
Industrial Price Index (Excl VAT),2015 July,Other transport equipment (30),99.9
Industrial Price Index (Excl VAT),2015 July,Furniture (31),101.0
Industrial Price Index (Excl VAT),2015 July,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 July,Mining and quarrying (05 to 09),101.4
Industrial Price Index (Excl VAT),2015 July,Transportable goods industries (05 to 33),99.8
Industrial Price Index (Excl VAT),2015 July,"Food products, beverages and tobacco (10 to 12)",101.4
Industrial Price Index (Excl VAT),2015 July,"Manufacturing, excluding food (11 to 33)",99.6
Industrial Price Index (Excl VAT),2015 July,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 July,Capital goods,
Industrial Price Index (Excl VAT),2015 July,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 July,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 July,Manufacturing industries (home sales),100.0
Industrial Price Index (Excl VAT),2015 July,Manufacturing industries (export sales),99.8
Industrial Price Index (Excl VAT),2015 July,Manufacturing industries (10 to 33),99.8
Industrial Price Index (Excl VAT),2015 July,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 July,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",99.6
Industrial Price Index (Excl VAT),2015 August,Food products (10),99.3
Industrial Price Index (Excl VAT),2015 August,Meat and meat products (101),99.9
Industrial Price Index (Excl VAT),2015 August,"Fish, crustaceans and molluscs (102)",100.4
Industrial Price Index (Excl VAT),2015 August,Fruit and vegetables (103),100.3
Industrial Price Index (Excl VAT),2015 August,"Vegetable, animal oils and fats (104)",101.6
Industrial Price Index (Excl VAT),2015 August,Dairy products (105),97.6
Industrial Price Index (Excl VAT),2015 August,"Grain mill and starch products, prepared animal feeds (106,109)",101.9
Industrial Price Index (Excl VAT),2015 August,Bakery and farinaceous products (107),100.9
Industrial Price Index (Excl VAT),2015 August,Other food products (108),99.0
Industrial Price Index (Excl VAT),2015 August,Manufacture of beverages (11),102.1
Industrial Price Index (Excl VAT),2015 August,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 August,Textiles (13),100.0
Industrial Price Index (Excl VAT),2015 August,Wearing apparel (14),99.8
Industrial Price Index (Excl VAT),2015 August,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 August,"Wood and wood products, except furniture (16)",99.9
Industrial Price Index (Excl VAT),2015 August,Paper and paper products (17),100.3
Industrial Price Index (Excl VAT),2015 August,Printing and reproduction of recorded media (18),99.6
Industrial Price Index (Excl VAT),2015 August,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2015 August,Chemicals and chemical products (20),100.0
Industrial Price Index (Excl VAT),2015 August,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2015 August,Rubber and plastic products (22),99.7
Industrial Price Index (Excl VAT),2015 August,Other non-metallic mineral products (23),101.2
Industrial Price Index (Excl VAT),2015 August,Basic metals (24),101.8
Industrial Price Index (Excl VAT),2015 August,"Fabricated metal products, except machinery and equipment (25)",100.4
Industrial Price Index (Excl VAT),2015 August,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2015 August,Electrical equipment (27),101.3
Industrial Price Index (Excl VAT),2015 August,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2015 August,"Motor vehicles, trailers and semi-trailers (29)",100.1
Industrial Price Index (Excl VAT),2015 August,Other transport equipment (30),100.2
Industrial Price Index (Excl VAT),2015 August,Furniture (31),100.9
Industrial Price Index (Excl VAT),2015 August,Other manufacturing (32),
Industrial Price Index (Excl VAT),2015 August,Mining and quarrying (05 to 09),99.0
Industrial Price Index (Excl VAT),2015 August,Transportable goods industries (05 to 33),100.2
Industrial Price Index (Excl VAT),2015 August,"Food products, beverages and tobacco (10 to 12)",99.6
Industrial Price Index (Excl VAT),2015 August,"Manufacturing, excluding food (11 to 33)",100.3
Industrial Price Index (Excl VAT),2015 August,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2015 August,Capital goods,
Industrial Price Index (Excl VAT),2015 August,Durable consumer goods,
Industrial Price Index (Excl VAT),2015 August,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2015 August,Manufacturing industries (home sales),100.3
Industrial Price Index (Excl VAT),2015 August,Manufacturing industries (export sales),100.2
Industrial Price Index (Excl VAT),2015 August,Manufacturing industries (10 to 33),100.2
Industrial Price Index (Excl VAT),2015 August,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2015 August,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",100.3
Industrial Price Index (Excl VAT),2015 September,Food products (10),98.2
Industrial Price Index (Excl VAT),2015 September,Meat and meat products (101),100.3
Industrial Price Index (Excl VAT),2015 September,"Fish, crustaceans and molluscs (102)",99.7
Industrial Price Index (Excl VAT),2015 September,Fruit and vegetables (103),99.1
Industrial Price Index (Excl VAT),2015 September,"Vegetable, animal oils and fats (104)",98.8
Industrial Price Index (Excl VAT),2015 September,Dairy products (105),95.7
Industrial Price Index (Excl VAT),2015 September,"Grain mill and starch products, prepared animal feeds (106,109)",101.7
Industrial Price Index (Excl VAT),2015 September,Bakery and farinaceous products (107),99.5
Industrial Price Index (Excl VAT),2015 September,Other food products (108),97.2
Industrial Price Index (Excl VAT),2015 September,Manufacture of beverages (11),101.9
Industrial Price Index (Excl VAT),2015 September,Tobacco products (12),
Industrial Price Index (Excl VAT),2015 September,Textiles (13),100.4
Industrial Price Index (Excl VAT),2015 September,Wearing apparel (14),99.8
Industrial Price Index (Excl VAT),2015 September,Leather and related products (15),99.9
Industrial Price Index (Excl VAT),2015 September,"Wood and wood products, except furniture (16)",99.2
Industrial Price Index (Excl VAT),2015 September,Paper and paper products (17),99.8
