,Statistic,Month,NACE.Rev.2.Sector,value
124,Services Index Value,2015M12,Information & Communication (J),128.8
125,Services Index Value,2015M12,"Professional, Scientific & Technical Activities (M)",121.0
126,Services Index Value,2015M12,Administrative & Support Service Activities (N (excl. 7735)),101.6
127,Services Index Value,2015M12,"Other Service Activities (L, 92, 93, 95, 96)",95.0
128,Services Index Value,2015M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",115.8
129,Services Index Value,2015M12,Wholesale Trade (46),105.0
130,Services Index Value,2015M12,Accommodation (55),89.1
131,Services Index Value,2015M12,"Food Service Activities (561, 562)",117.5
132,Services Index Value,2016M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),97.7
133,Services Index Value,2016M01,Transportation & Storage (H),82.0
134,Services Index Value,2016M01,Accommodation & Food Service Activities (I),84.0
135,Services Index Value,2016M01,Information & Communication (J),93.9
136,Services Index Value,2016M01,"Professional, Scientific & Technical Activities (M)",107.7
137,Services Index Value,2016M01,Administrative & Support Service Activities (N (excl. 7735)),97.8
138,Services Index Value,2016M01,"Other Service Activities (L, 92, 93, 95, 96)",91.6
139,Services Index Value,2016M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",95.0
140,Services Index Value,2016M01,Wholesale Trade (46),88.1
141,Services Index Value,2016M01,Accommodation (55),70.7
142,Services Index Value,2016M01,"Food Service Activities (561, 562)",100.2
143,Services Index Value,2016M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),97.5
144,Services Index Value,2016M02,Transportation & Storage (H),82.2
145,Services Index Value,2016M02,Accommodation & Food Service Activities (I),84.4
146,Services Index Value,2016M02,Information & Communication (J),93.4
147,Services Index Value,2016M02,"Professional, Scientific & Technical Activities (M)",100.1
148,Services Index Value,2016M02,Administrative & Support Service Activities (N (excl. 7735)),97.0
149,Services Index Value,2016M02,"Other Service Activities (L, 92, 93, 95, 96)",93.3
150,Services Index Value,2016M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",93.9
151,Services Index Value,2016M02,Wholesale Trade (46),89.3
152,Services Index Value,2016M02,Accommodation (55),72.7
153,Services Index Value,2016M02,"Food Service Activities (561, 562)",94.5
154,Services Index Value,2016M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),98.4
155,Services Index Value,2016M03,Transportation & Storage (H),95.9
156,Services Index Value,2016M03,Accommodation & Food Service Activities (I),96.6
157,Services Index Value,2016M03,Information & Communication (J),126.7
158,Services Index Value,2016M03,"Professional, Scientific & Technical Activities (M)",110.2
159,Services Index Value,2016M03,Administrative & Support Service Activities (N (excl. 7735)),97.4
160,Services Index Value,2016M03,"Other Service Activities (L, 92, 93, 95, 96)",113.4
161,Services Index Value,2016M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",109.2
162,Services Index Value,2016M03,Wholesale Trade (46),97.9
163,Services Index Value,2016M03,Accommodation (55),89.7
164,Services Index Value,2016M03,"Food Service Activities (561, 562)",104.7
165,Services Index Value,2016M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),96.4
166,Services Index Value,2016M04,Transportation & Storage (H),93.5
167,Services Index Value,2016M04,Accommodation & Food Service Activities (I),95.6
168,Services Index Value,2016M04,Information & Communication (J),94.6
169,Services Index Value,2016M04,"Professional, Scientific & Technical Activities (M)",108.3
170,Services Index Value,2016M04,Administrative & Support Service Activities (N (excl. 7735)),97.2
171,Services Index Value,2016M04,"Other Service Activities (L, 92, 93, 95, 96)",128.4
172,Services Index Value,2016M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",98.8
173,Services Index Value,2016M04,Wholesale Trade (46),90.7
174,Services Index Value,2016M04,Accommodation (55),92.5
175,Services Index Value,2016M04,"Food Service Activities (561, 562)",101.6
176,Services Index Value,2016M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),96.5
177,Services Index Value,2016M05,Transportation & Storage (H),102.5
178,Services Index Value,2016M05,Accommodation & Food Service Activities (I),104.7
179,Services Index Value,2016M05,Information & Communication (J),102.2
180,Services Index Value,2016M05,"Professional, Scientific & Technical Activities (M)",108.5
181,Services Index Value,2016M05,Administrative & Support Service Activities (N (excl. 7735)),100.9
182,Services Index Value,2016M05,"Other Service Activities (L, 92, 93, 95, 96)",118.2
183,Services Index Value,2016M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",102.4
184,Services Index Value,2016M05,Wholesale Trade (46),95.0
185,Services Index Value,2016M05,Accommodation (55),100.8
186,Services Index Value,2016M05,"Food Service Activities (561, 562)",107.7
187,Services Index Value,2016M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),97.4
188,Services Index Value,2016M06,Transportation & Storage (H),119.3
189,Services Index Value,2016M06,Accommodation & Food Service Activities (I),108.5
190,Services Index Value,2016M06,Information & Communication (J),112.7
191,Services Index Value,2016M06,"Professional, Scientific & Technical Activities (M)",111.7
192,Services Index Value,2016M06,Administrative & Support Service Activities (N (excl. 7735)),94.6
193,Services Index Value,2016M06,"Other Service Activities (L, 92, 93, 95, 96)",116.9
194,Services Index Value,2016M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",108.0
195,Services Index Value,2016M06,Wholesale Trade (46),101.9
196,Services Index Value,2016M06,Accommodation (55),105.6
197,Services Index Value,2016M06,"Food Service Activities (561, 562)",112.8
198,Services Index Value,2016M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),97.8
199,Services Index Value,2016M07,Transportation & Storage (H),115.0
200,Services Index Value,2016M07,Accommodation & Food Service Activities (I),118.4
201,Services Index Value,2016M07,Information & Communication (J),96.8
202,Services Index Value,2016M07,"Professional, Scientific & Technical Activities (M)",102.8
203,Services Index Value,2016M07,Administrative & Support Service Activities (N (excl. 7735)),102.6
204,Services Index Value,2016M07,"Other Service Activities (L, 92, 93, 95, 96)",119.2
205,Services Index Value,2016M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",102.6
206,Services Index Value,2016M07,Wholesale Trade (46),90.8
207,Services Index Value,2016M07,Accommodation (55),124.0
208,Services Index Value,2016M07,"Food Service Activities (561, 562)",115.4
209,Services Index Value,2016M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),95.8
210,Services Index Value,2016M08,Transportation & Storage (H),115.6
211,Services Index Value,2016M08,Accommodation & Food Service Activities (I),114.1
212,Services Index Value,2016M08,Information & Communication (J),95.0
213,Services Index Value,2016M08,"Professional, Scientific & Technical Activities (M)",98.8
214,Services Index Value,2016M08,Administrative & Support Service Activities (N (excl. 7735)),99.5
215,Services Index Value,2016M08,"Other Service Activities (L, 92, 93, 95, 96)",123.1
216,Services Index Value,2016M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",100.8
217,Services Index Value,2016M08,Wholesale Trade (46),92.9
218,Services Index Value,2016M08,Accommodation (55),116.4
219,Services Index Value,2016M08,"Food Service Activities (561, 562)",111.8
220,Services Index Value,2016M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.5
221,Services Index Value,2016M09,Transportation & Storage (H),111.5
222,Services Index Value,2016M09,Accommodation & Food Service Activities (I),109.3
223,Services Index Value,2016M09,Information & Communication (J),111.6
224,Services Index Value,2016M09,"Professional, Scientific & Technical Activities (M)",106.5
225,Services Index Value,2016M09,Administrative & Support Service Activities (N (excl. 7735)),102.7
226,Services Index Value,2016M09,"Other Service Activities (L, 92, 93, 95, 96)",112.6
227,Services Index Value,2016M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",107.3
228,Services Index Value,2016M09,Wholesale Trade (46),107.8
229,Services Index Value,2016M09,Accommodation (55),110.3
230,Services Index Value,2016M09,"Food Service Activities (561, 562)",106.9
231,Services Index Value,2016M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),98.7
232,Services Index Value,2016M10,Transportation & Storage (H),109.4
233,Services Index Value,2016M10,Accommodation & Food Service Activities (I),108.5
234,Services Index Value,2016M10,Information & Communication (J),105.0
235,Services Index Value,2016M10,"Professional, Scientific & Technical Activities (M)",105.5
236,Services Index Value,2016M10,Administrative & Support Service Activities (N (excl. 7735)),107.4
237,Services Index Value,2016M10,"Other Service Activities (L, 92, 93, 95, 96)",116.5
238,Services Index Value,2016M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.8
239,Services Index Value,2016M10,Wholesale Trade (46),106.0
240,Services Index Value,2016M10,Accommodation (55),102.2
241,Services Index Value,2016M10,"Food Service Activities (561, 562)",113.0
242,Services Index Value,2016M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.8
243,Services Index Value,2016M11,Transportation & Storage (H),94.0
244,Services Index Value,2016M11,Accommodation & Food Service Activities (I),98.3
245,Services Index Value,2016M11,Information & Communication (J),115.1
246,Services Index Value,2016M11,"Professional, Scientific & Technical Activities (M)",124.0
247,Services Index Value,2016M11,Administrative & Support Service Activities (N (excl. 7735)),97.3
248,Services Index Value,2016M11,"Other Service Activities (L, 92, 93, 95, 96)",104.5
249,Services Index Value,2016M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",109.1
250,Services Index Value,2016M11,Wholesale Trade (46),113.0
251,Services Index Value,2016M11,Accommodation (55),84.8
252,Services Index Value,2016M11,"Food Service Activities (561, 562)",106.7
253,Services Index Value,2016M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),116.2
254,Services Index Value,2016M12,Transportation & Storage (H),94.6
255,Services Index Value,2016M12,Accommodation & Food Service Activities (I),115.8
256,Services Index Value,2016M12,Information & Communication (J),142.2
257,Services Index Value,2016M12,"Professional, Scientific & Technical Activities (M)",124.1
258,Services Index Value,2016M12,Administrative & Support Service Activities (N (excl. 7735)),107.0
259,Services Index Value,2016M12,"Other Service Activities (L, 92, 93, 95, 96)",113.9
260,Services Index Value,2016M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",122.4
261,Services Index Value,2016M12,Wholesale Trade (46),108.8
262,Services Index Value,2016M12,Accommodation (55),97.1
263,Services Index Value,2016M12,"Food Service Activities (561, 562)",125.2
264,Services Index Value,2017M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),98.5
265,Services Index Value,2017M01,Transportation & Storage (H),85.7
266,Services Index Value,2017M01,Accommodation & Food Service Activities (I),84.1
267,Services Index Value,2017M01,Information & Communication (J),99.8
268,Services Index Value,2017M01,"Professional, Scientific & Technical Activities (M)",100.8
269,Services Index Value,2017M01,Administrative & Support Service Activities (N (excl. 7735)),96.9
270,Services Index Value,2017M01,"Other Service Activities (L, 92, 93, 95, 96)",107.7
271,Services Index Value,2017M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",97.3
272,Services Index Value,2017M01,Wholesale Trade (46),88.3
273,Services Index Value,2017M01,Accommodation (55),67.7
274,Services Index Value,2017M01,"Food Service Activities (561, 562)",100.8
275,Services Index Value,2017M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),95.3
276,Services Index Value,2017M02,Transportation & Storage (H),82.3
277,Services Index Value,2017M02,Accommodation & Food Service Activities (I),85.9
278,Services Index Value,2017M02,Information & Communication (J),99.5
279,Services Index Value,2017M02,"Professional, Scientific & Technical Activities (M)",107.0
280,Services Index Value,2017M02,Administrative & Support Service Activities (N (excl. 7735)),100.4
281,Services Index Value,2017M02,"Other Service Activities (L, 92, 93, 95, 96)",114.7
282,Services Index Value,2017M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",97.6
283,Services Index Value,2017M02,Wholesale Trade (46),86.6
284,Services Index Value,2017M02,Accommodation (55),73.7
285,Services Index Value,2017M02,"Food Service Activities (561, 562)",94.5
286,Services Index Value,2017M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.1
287,Services Index Value,2017M03,Transportation & Storage (H),99.0
288,Services Index Value,2017M03,Accommodation & Food Service Activities (I),100.3
289,Services Index Value,2017M03,Information & Communication (J),109.0
290,Services Index Value,2017M03,"Professional, Scientific & Technical Activities (M)",119.5
291,Services Index Value,2017M03,Administrative & Support Service Activities (N (excl. 7735)),109.3
292,Services Index Value,2017M03,"Other Service Activities (L, 92, 93, 95, 96)",124.9
293,Services Index Value,2017M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",108.1
294,Services Index Value,2017M03,Wholesale Trade (46),107.8
295,Services Index Value,2017M03,Accommodation (55),93.3
296,Services Index Value,2017M03,"Food Service Activities (561, 562)",108.1
297,Services Index Value,2017M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),98.7
298,Services Index Value,2017M04,Transportation & Storage (H),101.0
299,Services Index Value,2017M04,Accommodation & Food Service Activities (I),105.4
300,Services Index Value,2017M04,Information & Communication (J),101.1
301,Services Index Value,2017M04,"Professional, Scientific & Technical Activities (M)",112.9
302,Services Index Value,2017M04,Administrative & Support Service Activities (N (excl. 7735)),103.5
303,Services Index Value,2017M04,"Other Service Activities (L, 92, 93, 95, 96)",137.1
304,Services Index Value,2017M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.3
305,Services Index Value,2017M04,Wholesale Trade (46),97.0
306,Services Index Value,2017M04,Accommodation (55),105.4
307,Services Index Value,2017M04,"Food Service Activities (561, 562)",107.8
308,Services Index Value,2017M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.8
309,Services Index Value,2017M05,Transportation & Storage (H),104.9
310,Services Index Value,2017M05,Accommodation & Food Service Activities (I),107.7
311,Services Index Value,2017M05,Information & Communication (J),103.5
312,Services Index Value,2017M05,"Professional, Scientific & Technical Activities (M)",123.6
313,Services Index Value,2017M05,Administrative & Support Service Activities (N (excl. 7735)),112.0
314,Services Index Value,2017M05,"Other Service Activities (L, 92, 93, 95, 96)",118.6
315,Services Index Value,2017M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",107.2
316,Services Index Value,2017M05,Wholesale Trade (46),103.0
317,Services Index Value,2017M05,Accommodation (55),106.3
318,Services Index Value,2017M05,"Food Service Activities (561, 562)",109.6
319,Services Index Value,2017M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),96.4
320,Services Index Value,2017M06,Transportation & Storage (H),110.3
321,Services Index Value,2017M06,Accommodation & Food Service Activities (I),112.8
322,Services Index Value,2017M06,Information & Communication (J),120.4
323,Services Index Value,2017M06,"Professional, Scientific & Technical Activities (M)",122.2
324,Services Index Value,2017M06,Administrative & Support Service Activities (N (excl. 7735)),116.0
325,Services Index Value,2017M06,"Other Service Activities (L, 92, 93, 95, 96)",117.4
326,Services Index Value,2017M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",112.2
327,Services Index Value,2017M06,Wholesale Trade (46),98.3
328,Services Index Value,2017M06,Accommodation (55),114.3
329,Services Index Value,2017M06,"Food Service Activities (561, 562)",114.3
330,Services Index Value,2017M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.2
331,Services Index Value,2017M07,Transportation & Storage (H),120.8
332,Services Index Value,2017M07,Accommodation & Food Service Activities (I),120.2
333,Services Index Value,2017M07,Information & Communication (J),98.1
334,Services Index Value,2017M07,"Professional, Scientific & Technical Activities (M)",129.7
335,Services Index Value,2017M07,Administrative & Support Service Activities (N (excl. 7735)),117.1
336,Services Index Value,2017M07,"Other Service Activities (L, 92, 93, 95, 96)",125.7
337,Services Index Value,2017M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",109.1
338,Services Index Value,2017M07,Wholesale Trade (46),92.3
339,Services Index Value,2017M07,Accommodation (55),124.4
340,Services Index Value,2017M07,"Food Service Activities (561, 562)",116.4
341,Services Index Value,2017M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),96.2
342,Services Index Value,2017M08,Transportation & Storage (H),118.6
343,Services Index Value,2017M08,Accommodation & Food Service Activities (I),127.8
344,Services Index Value,2017M08,Information & Communication (J),97.7
345,Services Index Value,2017M08,"Professional, Scientific & Technical Activities (M)",128.4
346,Services Index Value,2017M08,Administrative & Support Service Activities (N (excl. 7735)),107.2
347,Services Index Value,2017M08,"Other Service Activities (L, 92, 93, 95, 96)",125.1
348,Services Index Value,2017M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",107.5
349,Services Index Value,2017M08,Wholesale Trade (46),93.8
350,Services Index Value,2017M08,Accommodation (55),136.3
351,Services Index Value,2017M08,"Food Service Activities (561, 562)",122.0
352,Services Index Value,2017M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.5
353,Services Index Value,2017M09,Transportation & Storage (H),109.7
354,Services Index Value,2017M09,Accommodation & Food Service Activities (I),117.4
355,Services Index Value,2017M09,Information & Communication (J),105.7
356,Services Index Value,2017M09,"Professional, Scientific & Technical Activities (M)",124.5
357,Services Index Value,2017M09,Administrative & Support Service Activities (N (excl. 7735)),107.9
358,Services Index Value,2017M09,"Other Service Activities (L, 92, 93, 95, 96)",110.9
359,Services Index Value,2017M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",108.4
360,Services Index Value,2017M09,Wholesale Trade (46),106.0
361,Services Index Value,2017M09,Accommodation (55),123.8
362,Services Index Value,2017M09,"Food Service Activities (561, 562)",110.7
363,Services Index Value,2017M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),97.3
364,Services Index Value,2017M10,Transportation & Storage (H),103.7
365,Services Index Value,2017M10,Accommodation & Food Service Activities (I),112.0
366,Services Index Value,2017M10,Information & Communication (J),111.1
367,Services Index Value,2017M10,"Professional, Scientific & Technical Activities (M)",131.7
368,Services Index Value,2017M10,Administrative & Support Service Activities (N (excl. 7735)),109.6
369,Services Index Value,2017M10,"Other Service Activities (L, 92, 93, 95, 96)",118.8
370,Services Index Value,2017M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",109.8
371,Services Index Value,2017M10,Wholesale Trade (46),101.2
372,Services Index Value,2017M10,Accommodation (55),107.8
373,Services Index Value,2017M10,"Food Service Activities (561, 562)",115.5
