,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
39,Persons aged 15-89 years in Employment,1998Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",101.1
40,Persons aged 15-89 years in Employment,1998Q1,Female,Transportation and storage (H),12.7
41,Persons aged 15-89 years in Employment,1998Q1,Female,Accommodation and food service activities (I),53.9
42,Persons aged 15-89 years in Employment,1998Q1,Female,Information and communication (J),22.4
43,Persons aged 15-89 years in Employment,1998Q1,Female,"Professional, scientific and technical activities (M)",27.2
44,Persons aged 15-89 years in Employment,1998Q1,Female,Administrative and support service activities (N),24.6
45,Persons aged 15-89 years in Employment,1998Q1,Female,"Public administration and defence, compulsory social security (O)",24.1
46,Persons aged 15-89 years in Employment,1998Q1,Female,Education (P),61.2
47,Persons aged 15-89 years in Employment,1998Q1,Female,Human health and social work activities (Q),93.0
48,Persons aged 15-89 years in Employment,1998Q1,Female,Industry (B to E),93.9
49,Persons aged 15-89 years in Employment,1998Q1,Female,Industry and Construction (B to F),96.9
50,Persons aged 15-89 years in Employment,1998Q1,Female,Services (G to U),497.2
51,Persons aged 15-89 years in Employment,1998Q1,Female,"Financial, insurance and real estate activities (K,L)",34.7
52,Persons aged 15-89 years in Employment,1998Q1,Female,Other NACE activities (R to U),42.3
53,Persons aged 15-89 years in Employment,1998Q1,Female,Not stated,3.2
54,Persons aged 15-89 years in Employment,1998Q2,Both sexes,All NACE economic sectors,1572.0
55,Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Agriculture, forestry and fishing (A)",135.2
56,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Construction (F),105.0
57,Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",222.1
58,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Transportation and storage (H),65.9
59,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Accommodation and food service activities (I),104.2
60,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Information and communication (J),63.3
61,Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Professional, scientific and technical activities (M)",73.0
62,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Administrative and support service activities (N),50.6
63,Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Public administration and defence, compulsory social security (O)",66.9
64,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Education (P),93.6
65,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Human health and social work activities (Q),122.7
66,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Industry (B to E),319.1
67,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Industry and Construction (B to F),424.1
68,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Services (G to U),1004.3
69,Persons aged 15-89 years in Employment,1998Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",63.6
70,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Other NACE activities (R to U),78.2
71,Persons aged 15-89 years in Employment,1998Q2,Both sexes,Not stated,8.4
72,Persons aged 15-89 years in Employment,1998Q2,Male,All NACE economic sectors,948.2
73,Persons aged 15-89 years in Employment,1998Q2,Male,"Agriculture, forestry and fishing (A)",117.3
74,Persons aged 15-89 years in Employment,1998Q2,Male,Construction (F),101.8
75,Persons aged 15-89 years in Employment,1998Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",119.3
76,Persons aged 15-89 years in Employment,1998Q2,Male,Transportation and storage (H),53.0
77,Persons aged 15-89 years in Employment,1998Q2,Male,Accommodation and food service activities (I),46.9
78,Persons aged 15-89 years in Employment,1998Q2,Male,Information and communication (J),40.4
79,Persons aged 15-89 years in Employment,1998Q2,Male,"Professional, scientific and technical activities (M)",45.8
80,Persons aged 15-89 years in Employment,1998Q2,Male,Administrative and support service activities (N),24.7
81,Persons aged 15-89 years in Employment,1998Q2,Male,"Public administration and defence, compulsory social security (O)",43.1
82,Persons aged 15-89 years in Employment,1998Q2,Male,Education (P),32.8
83,Persons aged 15-89 years in Employment,1998Q2,Male,Human health and social work activities (Q),30.4
84,Persons aged 15-89 years in Employment,1998Q2,Male,Industry (B to E),222.7
85,Persons aged 15-89 years in Employment,1998Q2,Male,Industry and Construction (B to F),324.5
86,Persons aged 15-89 years in Employment,1998Q2,Male,Services (G to U),501.6
87,Persons aged 15-89 years in Employment,1998Q2,Male,"Financial, insurance and real estate activities (K,L)",28.3
88,Persons aged 15-89 years in Employment,1998Q2,Male,Other NACE activities (R to U),36.9
89,Persons aged 15-89 years in Employment,1998Q2,Male,Not stated,4.8
90,Persons aged 15-89 years in Employment,1998Q2,Female,All NACE economic sectors,623.8
91,Persons aged 15-89 years in Employment,1998Q2,Female,"Agriculture, forestry and fishing (A)",17.9
92,Persons aged 15-89 years in Employment,1998Q2,Female,Construction (F),3.2
93,Persons aged 15-89 years in Employment,1998Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",102.7
94,Persons aged 15-89 years in Employment,1998Q2,Female,Transportation and storage (H),12.9
95,Persons aged 15-89 years in Employment,1998Q2,Female,Accommodation and food service activities (I),57.3
96,Persons aged 15-89 years in Employment,1998Q2,Female,Information and communication (J),22.9
97,Persons aged 15-89 years in Employment,1998Q2,Female,"Professional, scientific and technical activities (M)",27.2
98,Persons aged 15-89 years in Employment,1998Q2,Female,Administrative and support service activities (N),25.9
99,Persons aged 15-89 years in Employment,1998Q2,Female,"Public administration and defence, compulsory social security (O)",23.8
100,Persons aged 15-89 years in Employment,1998Q2,Female,Education (P),60.8
101,Persons aged 15-89 years in Employment,1998Q2,Female,Human health and social work activities (Q),92.4
102,Persons aged 15-89 years in Employment,1998Q2,Female,Industry (B to E),96.4
103,Persons aged 15-89 years in Employment,1998Q2,Female,Industry and Construction (B to F),99.6
104,Persons aged 15-89 years in Employment,1998Q2,Female,Services (G to U),502.7
105,Persons aged 15-89 years in Employment,1998Q2,Female,"Financial, insurance and real estate activities (K,L)",35.3
106,Persons aged 15-89 years in Employment,1998Q2,Female,Other NACE activities (R to U),41.3
107,Persons aged 15-89 years in Employment,1998Q2,Female,Not stated,3.5
108,Persons aged 15-89 years in Employment,1998Q3,Both sexes,All NACE economic sectors,1636.3
109,Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Agriculture, forestry and fishing (A)",137.4
110,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Construction (F),112.0
111,Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",233.6
112,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Transportation and storage (H),68.3
113,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Accommodation and food service activities (I),113.4
114,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Information and communication (J),68.0
115,Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Professional, scientific and technical activities (M)",74.8
116,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Administrative and support service activities (N),52.7
117,Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Public administration and defence, compulsory social security (O)",67.7
118,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Education (P),91.7
119,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Human health and social work activities (Q),127.0
120,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Industry (B to E),329.3
121,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Industry and Construction (B to F),441.3
122,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Services (G to U),1048.4
123,Persons aged 15-89 years in Employment,1998Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",67.6
124,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Other NACE activities (R to U),83.7
125,Persons aged 15-89 years in Employment,1998Q3,Both sexes,Not stated,9.1
126,Persons aged 15-89 years in Employment,1998Q3,Male,All NACE economic sectors,982.8
127,Persons aged 15-89 years in Employment,1998Q3,Male,"Agriculture, forestry and fishing (A)",119.4
128,Persons aged 15-89 years in Employment,1998Q3,Male,Construction (F),108.4
129,Persons aged 15-89 years in Employment,1998Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",123.1
130,Persons aged 15-89 years in Employment,1998Q3,Male,Transportation and storage (H),55.3
131,Persons aged 15-89 years in Employment,1998Q3,Male,Accommodation and food service activities (I),50.4
132,Persons aged 15-89 years in Employment,1998Q3,Male,Information and communication (J),42.6
133,Persons aged 15-89 years in Employment,1998Q3,Male,"Professional, scientific and technical activities (M)",45.5
134,Persons aged 15-89 years in Employment,1998Q3,Male,Administrative and support service activities (N),26.1
135,Persons aged 15-89 years in Employment,1998Q3,Male,"Public administration and defence, compulsory social security (O)",43.8
136,Persons aged 15-89 years in Employment,1998Q3,Male,Education (P),32.8
137,Persons aged 15-89 years in Employment,1998Q3,Male,Human health and social work activities (Q),29.5
138,Persons aged 15-89 years in Employment,1998Q3,Male,Industry (B to E),231.0
139,Persons aged 15-89 years in Employment,1998Q3,Male,Industry and Construction (B to F),339.4
140,Persons aged 15-89 years in Employment,1998Q3,Male,Services (G to U),518.6
141,Persons aged 15-89 years in Employment,1998Q3,Male,"Financial, insurance and real estate activities (K,L)",30.7
142,Persons aged 15-89 years in Employment,1998Q3,Male,Other NACE activities (R to U),38.7
143,Persons aged 15-89 years in Employment,1998Q3,Male,Not stated,5.4
144,Persons aged 15-89 years in Employment,1998Q3,Female,All NACE economic sectors,653.5
145,Persons aged 15-89 years in Employment,1998Q3,Female,"Agriculture, forestry and fishing (A)",18.0
146,Persons aged 15-89 years in Employment,1998Q3,Female,Construction (F),3.6
147,Persons aged 15-89 years in Employment,1998Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",110.5
148,Persons aged 15-89 years in Employment,1998Q3,Female,Transportation and storage (H),13.0
149,Persons aged 15-89 years in Employment,1998Q3,Female,Accommodation and food service activities (I),63.0
150,Persons aged 15-89 years in Employment,1998Q3,Female,Information and communication (J),25.4
151,Persons aged 15-89 years in Employment,1998Q3,Female,"Professional, scientific and technical activities (M)",29.3
152,Persons aged 15-89 years in Employment,1998Q3,Female,Administrative and support service activities (N),26.6
153,Persons aged 15-89 years in Employment,1998Q3,Female,"Public administration and defence, compulsory social security (O)",23.9
154,Persons aged 15-89 years in Employment,1998Q3,Female,Education (P),58.9
155,Persons aged 15-89 years in Employment,1998Q3,Female,Human health and social work activities (Q),97.5
156,Persons aged 15-89 years in Employment,1998Q3,Female,Industry (B to E),98.3
157,Persons aged 15-89 years in Employment,1998Q3,Female,Industry and Construction (B to F),101.9
158,Persons aged 15-89 years in Employment,1998Q3,Female,Services (G to U),529.9
159,Persons aged 15-89 years in Employment,1998Q3,Female,"Financial, insurance and real estate activities (K,L)",36.8
160,Persons aged 15-89 years in Employment,1998Q3,Female,Other NACE activities (R to U),45.1
161,Persons aged 15-89 years in Employment,1998Q3,Female,Not stated,3.7
162,Persons aged 15-89 years in Employment,1998Q4,Both sexes,All NACE economic sectors,1615.7
163,Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Agriculture, forestry and fishing (A)",137.0
164,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Construction (F),115.1
165,Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",227.5
166,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Transportation and storage (H),70.4
167,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Accommodation and food service activities (I),104.5
168,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Information and communication (J),67.7
169,Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Professional, scientific and technical activities (M)",75.2
170,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Administrative and support service activities (N),53.3
171,Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Public administration and defence, compulsory social security (O)",66.1
172,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Education (P),97.0
173,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Human health and social work activities (Q),123.3
174,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Industry (B to E),321.1
175,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Industry and Construction (B to F),436.2
176,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Services (G to U),1031.1
177,Persons aged 15-89 years in Employment,1998Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",67.0
178,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Other NACE activities (R to U),79.1
179,Persons aged 15-89 years in Employment,1998Q4,Both sexes,Not stated,11.5
180,Persons aged 15-89 years in Employment,1998Q4,Male,All NACE economic sectors,973.9
181,Persons aged 15-89 years in Employment,1998Q4,Male,"Agriculture, forestry and fishing (A)",119.9
182,Persons aged 15-89 years in Employment,1998Q4,Male,Construction (F),111.2
183,Persons aged 15-89 years in Employment,1998Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",118.6
184,Persons aged 15-89 years in Employment,1998Q4,Male,Transportation and storage (H),56.3
185,Persons aged 15-89 years in Employment,1998Q4,Male,Accommodation and food service activities (I),46.0
186,Persons aged 15-89 years in Employment,1998Q4,Male,Information and communication (J),42.3
187,Persons aged 15-89 years in Employment,1998Q4,Male,"Professional, scientific and technical activities (M)",45.2
188,Persons aged 15-89 years in Employment,1998Q4,Male,Administrative and support service activities (N),27.0
189,Persons aged 15-89 years in Employment,1998Q4,Male,"Public administration and defence, compulsory social security (O)",43.0
190,Persons aged 15-89 years in Employment,1998Q4,Male,Education (P),33.4
191,Persons aged 15-89 years in Employment,1998Q4,Male,Human health and social work activities (Q),28.5
192,Persons aged 15-89 years in Employment,1998Q4,Male,Industry (B to E),229.1
193,Persons aged 15-89 years in Employment,1998Q4,Male,Industry and Construction (B to F),340.3
194,Persons aged 15-89 years in Employment,1998Q4,Male,Services (G to U),506.7
195,Persons aged 15-89 years in Employment,1998Q4,Male,"Financial, insurance and real estate activities (K,L)",30.4
196,Persons aged 15-89 years in Employment,1998Q4,Male,Other NACE activities (R to U),36.0
197,Persons aged 15-89 years in Employment,1998Q4,Male,Not stated,7.0
198,Persons aged 15-89 years in Employment,1998Q4,Female,All NACE economic sectors,641.8
199,Persons aged 15-89 years in Employment,1998Q4,Female,"Agriculture, forestry and fishing (A)",17.1
200,Persons aged 15-89 years in Employment,1998Q4,Female,Construction (F),3.9
201,Persons aged 15-89 years in Employment,1998Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",108.9
202,Persons aged 15-89 years in Employment,1998Q4,Female,Transportation and storage (H),14.1
203,Persons aged 15-89 years in Employment,1998Q4,Female,Accommodation and food service activities (I),58.5
204,Persons aged 15-89 years in Employment,1998Q4,Female,Information and communication (J),25.4
205,Persons aged 15-89 years in Employment,1998Q4,Female,"Professional, scientific and technical activities (M)",30.1
206,Persons aged 15-89 years in Employment,1998Q4,Female,Administrative and support service activities (N),26.3
207,Persons aged 15-89 years in Employment,1998Q4,Female,"Public administration and defence, compulsory social security (O)",23.1
208,Persons aged 15-89 years in Employment,1998Q4,Female,Education (P),63.6
209,Persons aged 15-89 years in Employment,1998Q4,Female,Human health and social work activities (Q),94.8
210,Persons aged 15-89 years in Employment,1998Q4,Female,Industry (B to E),91.9
211,Persons aged 15-89 years in Employment,1998Q4,Female,Industry and Construction (B to F),95.9
212,Persons aged 15-89 years in Employment,1998Q4,Female,Services (G to U),524.4
213,Persons aged 15-89 years in Employment,1998Q4,Female,"Financial, insurance and real estate activities (K,L)",36.5
214,Persons aged 15-89 years in Employment,1998Q4,Female,Other NACE activities (R to U),43.1
215,Persons aged 15-89 years in Employment,1998Q4,Female,Not stated,4.5
216,Persons aged 15-89 years in Employment,1999Q1,Both sexes,All NACE economic sectors,1644.4
217,Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Agriculture, forestry and fishing (A)",139.7
218,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Construction (F),117.5
219,Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",230.3
220,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Transportation and storage (H),72.3
221,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Accommodation and food service activities (I),104.0
222,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Information and communication (J),71.4
223,Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Professional, scientific and technical activities (M)",76.9
224,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Administrative and support service activities (N),54.8
225,Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Public administration and defence, compulsory social security (O)",70.0
226,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Education (P),101.1
227,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Human health and social work activities (Q),125.2
228,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Industry (B to E),321.0
229,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Industry and Construction (B to F),438.5
230,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Services (G to U),1056.8
231,Persons aged 15-89 years in Employment,1999Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",70.4
232,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Other NACE activities (R to U),80.4
233,Persons aged 15-89 years in Employment,1999Q1,Both sexes,Not stated,9.4
234,Persons aged 15-89 years in Employment,1999Q1,Male,All NACE economic sectors,982.9
235,Persons aged 15-89 years in Employment,1999Q1,Male,"Agriculture, forestry and fishing (A)",120.2
236,Persons aged 15-89 years in Employment,1999Q1,Male,Construction (F),113.5
237,Persons aged 15-89 years in Employment,1999Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",120.6
238,Persons aged 15-89 years in Employment,1999Q1,Male,Transportation and storage (H),57.5
239,Persons aged 15-89 years in Employment,1999Q1,Male,Accommodation and food service activities (I),47.0
240,Persons aged 15-89 years in Employment,1999Q1,Male,Information and communication (J),44.7
241,Persons aged 15-89 years in Employment,1999Q1,Male,"Professional, scientific and technical activities (M)",46.6
242,Persons aged 15-89 years in Employment,1999Q1,Male,Administrative and support service activities (N),27.7
243,Persons aged 15-89 years in Employment,1999Q1,Male,"Public administration and defence, compulsory social security (O)",45.0
244,Persons aged 15-89 years in Employment,1999Q1,Male,Education (P),33.2
245,Persons aged 15-89 years in Employment,1999Q1,Male,Human health and social work activities (Q),26.8
246,Persons aged 15-89 years in Employment,1999Q1,Male,Industry (B to E),225.7
247,Persons aged 15-89 years in Employment,1999Q1,Male,Industry and Construction (B to F),339.1
248,Persons aged 15-89 years in Employment,1999Q1,Male,Services (G to U),518.1
249,Persons aged 15-89 years in Employment,1999Q1,Male,"Financial, insurance and real estate activities (K,L)",32.9
250,Persons aged 15-89 years in Employment,1999Q1,Male,Other NACE activities (R to U),36.1
251,Persons aged 15-89 years in Employment,1999Q1,Male,Not stated,5.5
252,Persons aged 15-89 years in Employment,1999Q1,Female,All NACE economic sectors,661.5
253,Persons aged 15-89 years in Employment,1999Q1,Female,"Agriculture, forestry and fishing (A)",19.5
254,Persons aged 15-89 years in Employment,1999Q1,Female,Construction (F),4.1
255,Persons aged 15-89 years in Employment,1999Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",109.7
256,Persons aged 15-89 years in Employment,1999Q1,Female,Transportation and storage (H),14.8
257,Persons aged 15-89 years in Employment,1999Q1,Female,Accommodation and food service activities (I),57.0
258,Persons aged 15-89 years in Employment,1999Q1,Female,Information and communication (J),26.7
259,Persons aged 15-89 years in Employment,1999Q1,Female,"Professional, scientific and technical activities (M)",30.3
260,Persons aged 15-89 years in Employment,1999Q1,Female,Administrative and support service activities (N),27.1
261,Persons aged 15-89 years in Employment,1999Q1,Female,"Public administration and defence, compulsory social security (O)",25.1
262,Persons aged 15-89 years in Employment,1999Q1,Female,Education (P),67.9
263,Persons aged 15-89 years in Employment,1999Q1,Female,Human health and social work activities (Q),98.4
264,Persons aged 15-89 years in Employment,1999Q1,Female,Industry (B to E),95.3
265,Persons aged 15-89 years in Employment,1999Q1,Female,Industry and Construction (B to F),99.4
266,Persons aged 15-89 years in Employment,1999Q1,Female,Services (G to U),538.7
267,Persons aged 15-89 years in Employment,1999Q1,Female,"Financial, insurance and real estate activities (K,L)",37.5
268,Persons aged 15-89 years in Employment,1999Q1,Female,Other NACE activities (R to U),44.3
269,Persons aged 15-89 years in Employment,1999Q1,Female,Not stated,3.9
270,Persons aged 15-89 years in Employment,1999Q2,Both sexes,All NACE economic sectors,1679.2
271,Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Agriculture, forestry and fishing (A)",138.3
272,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Construction (F),120.5
273,Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",234.1
274,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Transportation and storage (H),73.8
275,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Accommodation and food service activities (I),110.5
276,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Information and communication (J),73.9
277,Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Professional, scientific and technical activities (M)",82.2
278,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Administrative and support service activities (N),55.5
279,Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Public administration and defence, compulsory social security (O)",71.5
280,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Education (P),100.3
281,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Human health and social work activities (Q),129.4
282,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Industry (B to E),326.4
283,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Industry and Construction (B to F),446.8
284,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Services (G to U),1084.1
285,Persons aged 15-89 years in Employment,1999Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",72.4
286,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Other NACE activities (R to U),80.5
287,Persons aged 15-89 years in Employment,1999Q2,Both sexes,Not stated,10.0
288,Persons aged 15-89 years in Employment,1999Q2,Male,All NACE economic sectors,1001.8
289,Persons aged 15-89 years in Employment,1999Q2,Male,"Agriculture, forestry and fishing (A)",119.8
290,Persons aged 15-89 years in Employment,1999Q2,Male,Construction (F),116.3
291,Persons aged 15-89 years in Employment,1999Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",120.7
292,Persons aged 15-89 years in Employment,1999Q2,Male,Transportation and storage (H),58.7
293,Persons aged 15-89 years in Employment,1999Q2,Male,Accommodation and food service activities (I),49.5
294,Persons aged 15-89 years in Employment,1999Q2,Male,Information and communication (J),47.0
295,Persons aged 15-89 years in Employment,1999Q2,Male,"Professional, scientific and technical activities (M)",49.4
296,Persons aged 15-89 years in Employment,1999Q2,Male,Administrative and support service activities (N),28.1
297,Persons aged 15-89 years in Employment,1999Q2,Male,"Public administration and defence, compulsory social security (O)",46.1
298,Persons aged 15-89 years in Employment,1999Q2,Male,Education (P),32.6
299,Persons aged 15-89 years in Employment,1999Q2,Male,Human health and social work activities (Q),28.9
300,Persons aged 15-89 years in Employment,1999Q2,Male,Industry (B to E),228.9
301,Persons aged 15-89 years in Employment,1999Q2,Male,Industry and Construction (B to F),345.2
302,Persons aged 15-89 years in Employment,1999Q2,Male,Services (G to U),531.1
303,Persons aged 15-89 years in Employment,1999Q2,Male,"Financial, insurance and real estate activities (K,L)",33.8
304,Persons aged 15-89 years in Employment,1999Q2,Male,Other NACE activities (R to U),36.1
305,Persons aged 15-89 years in Employment,1999Q2,Male,Not stated,5.8
306,Persons aged 15-89 years in Employment,1999Q2,Female,All NACE economic sectors,677.4
307,Persons aged 15-89 years in Employment,1999Q2,Female,"Agriculture, forestry and fishing (A)",18.5
308,Persons aged 15-89 years in Employment,1999Q2,Female,Construction (F),4.2
309,Persons aged 15-89 years in Employment,1999Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",113.3
310,Persons aged 15-89 years in Employment,1999Q2,Female,Transportation and storage (H),15.1
311,Persons aged 15-89 years in Employment,1999Q2,Female,Accommodation and food service activities (I),61.0
