Statistic,Quarter,Item,value
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-31559
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",75566
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",46743
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",20949
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",7873
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",107125
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",100873
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",6252
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Net worth, including pension liabilities",-50374
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Contingent liabilities,247424
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,"Net worth, including pension liabilities and contingent liabilities",-297798
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,General Government: changes in net worth - Opening net worth,75735
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to transactions,-7496
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),574
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-8069
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),-2613
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,-3167
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to other economic flows - Other changes in financial assets,687
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Change in net worth due to other economic flows - Other changes in liabilities,-133
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Closing net worth,65626
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),100873
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,404
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),101277
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-46743
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),54533
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",55681
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),94958
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-39277
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",73462
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",44350
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",21575
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",7537
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",112739
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",106252
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",6487
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Net worth, including pension liabilities",-60319
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Contingent liabilities,247424
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,"Net worth, including pension liabilities and contingent liabilities",-307744
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,General Government: changes in net worth - Opening net worth,65626
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to transactions,-5526
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),940
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-6467
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),-4419
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,-3167
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to other economic flows - Other changes in financial assets,1558
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Change in net worth due to other economic flows - Other changes in liabilities,-2810
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Closing net worth,55681
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),106252
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,-3139
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),103113
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-44350
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),58763
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",51216
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),92919
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-41702
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",72689
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",42051
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",21699
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8939
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",114391
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",107837
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",6555
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Net worth, including pension liabilities",-64784
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Contingent liabilities,247424
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,"Net worth, including pension liabilities and contingent liabilities",-312208
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,General Government: changes in net worth - Opening net worth,55681
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to transactions,-3717
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),1127
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-4844
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),-748
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,-3167
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to other economic flows - Other changes in financial assets,1470
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Change in net worth due to other economic flows - Other changes in liabilities,949
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Closing net worth,51217
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),107837
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,-3133
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),104703
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-42051
"General Government Net Worth, Gross and Net Debt ESA 2010",2009Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),62652
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",33842
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),91660
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-57818
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",79375
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",47297
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",23308
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8770
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",137193
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",129630
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",7563
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Net worth, including pension liabilities",-82158
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Contingent liabilities,149151
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,"Net worth, including pension liabilities and contingent liabilities",-231309
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,General Government: changes in net worth - Opening net worth,51217
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to transactions,-15452
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),410
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-15862
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),-1922
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,-1669
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to other economic flows - Other changes in financial assets,1642
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Change in net worth due to other economic flows - Other changes in liabilities,-1896
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Closing net worth,33842
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),129630
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,-5314
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),124315
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-47297
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),77018
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",29170
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),90272
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-61102
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",70667
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",38007
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",24127
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8532
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",131768
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",123679
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",8089
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Net worth, including pension liabilities",-86830
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Contingent liabilities,149151
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,"Net worth, including pension liabilities and contingent liabilities",-235981
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,General Government: changes in net worth - Opening net worth,33842
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to transactions,-6176
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),281
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-6457
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),1504
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,-1669
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to other economic flows - Other changes in financial assets,-1616
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Change in net worth due to other economic flows - Other changes in liabilities,4789
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Closing net worth,29171
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),123679
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,46
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),123725
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-38007
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),85718
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",18864
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),88848
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-69984
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",73733
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",40488
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",24942
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8303
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",143717
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",135581
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",8136
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Net worth, including pension liabilities",-97136
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Contingent liabilities,149151
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,"Net worth, including pension liabilities and contingent liabilities",-246287
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,General Government: changes in net worth - Opening net worth,29171
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to transactions,-13548
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),245
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-13793
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),3242
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,-1669
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to other economic flows - Other changes in financial assets,36
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Change in net worth due to other economic flows - Other changes in liabilities,4875
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Closing net worth,18865
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),135581
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,3663
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),139244
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-40488
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),98756
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",10569
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),88743
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-78175
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",61439
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",32744
