,Statistic,Quarter,Sector,value
34,Expenditure on GNP at Current Market Prices,1995Q2,Gross Domestic Fixed Capital Formation,2384.0
35,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Dwellings,456.0
36,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Improvements,157.0
37,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Other Building and Construction,573.0
38,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Transfer Costs,88.0
39,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Machinery and Equipment,894.0
40,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,13.0
41,Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Intangible Assets,216.0
42,Expenditure on GNP at Current Market Prices,1995Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
43,Expenditure on GNP at Current Market Prices,1995Q2,Value of Physical Changes in Stocks,140.0
44,Expenditure on GNP at Current Market Prices,1995Q2,Exports of Goods and Services (excluding Factor Income Flows),9931.0
45,Expenditure on GNP at Current Market Prices,1995Q2,Imports of Goods and Services (excluding Factor Income Flows),-8064.0
46,Expenditure on GNP at Current Market Prices,1995Q2,Gross Domestic Product at Market Prices,13940.0
47,Expenditure on GNP at Current Market Prices,1995Q2,Net Factor Income from the Rest of the World,-1431.0
48,Expenditure on GNP at Current Market Prices,1995Q2,Gross National Product at Market Prices,12508.0
49,Expenditure on GNP at Current Market Prices,1995Q2,Statistical Discrepancy,253.0
50,Expenditure on GNP at Current Market Prices,1995Q2,Export of Goods (excluding Factor Income Flows),8684.0
51,Expenditure on GNP at Current Market Prices,1995Q2,Import of Goods (excluding Factor Income Flows),-6063.0
52,Expenditure on GNP at Current Market Prices,1995Q2,Export of Services (excluding Factor Income Flows),1247.0
53,Expenditure on GNP at Current Market Prices,1995Q2,Import of Services (excluding Factor Income Flows),-2001.0
54,Expenditure on GNP at Current Market Prices,1995Q2,Final Domestic Demand,11680.0
55,Expenditure on GNP at Current Market Prices,1995Q2,Total Domestic Demand,11820.0
56,Expenditure on GNP at Current Market Prices,1995Q3,Personal Expenditure on Consumer Goods and Services,7159.0
57,Expenditure on GNP at Current Market Prices,1995Q3,Household & NPISH Final Consumption Expenditure,7070.0
58,Expenditure on GNP at Current Market Prices,1995Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2249.0
59,Expenditure on GNP at Current Market Prices,1995Q3,General Government Expenditure on Goods & Services provided to Households,1440.0
60,Expenditure on GNP at Current Market Prices,1995Q3,General Government Collective Consumption Expenditure,898.0
61,Expenditure on GNP at Current Market Prices,1995Q3,General Government Final Consumption Expenditure,2338.0
62,Expenditure on GNP at Current Market Prices,1995Q3,Gross Domestic Fixed Capital Formation,2543.0
63,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Dwellings,519.0
64,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Improvements,176.0
65,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Other Building and Construction,557.0
66,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Transfer Costs,96.0
67,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Machinery and Equipment,948.0
68,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,149.0
69,Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Intangible Assets,247.0
70,Expenditure on GNP at Current Market Prices,1995Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
71,Expenditure on GNP at Current Market Prices,1995Q3,Value of Physical Changes in Stocks,-88.0
72,Expenditure on GNP at Current Market Prices,1995Q3,Exports of Goods and Services (excluding Factor Income Flows),10181.0
73,Expenditure on GNP at Current Market Prices,1995Q3,Imports of Goods and Services (excluding Factor Income Flows),-8509.0
74,Expenditure on GNP at Current Market Prices,1995Q3,Gross Domestic Product at Market Prices,13604.0
75,Expenditure on GNP at Current Market Prices,1995Q3,Net Factor Income from the Rest of the World,-1399.0
76,Expenditure on GNP at Current Market Prices,1995Q3,Gross National Product at Market Prices,12205.0
77,Expenditure on GNP at Current Market Prices,1995Q3,Statistical Discrepancy,68.0
78,Expenditure on GNP at Current Market Prices,1995Q3,Export of Goods (excluding Factor Income Flows),8903.0
79,Expenditure on GNP at Current Market Prices,1995Q3,Import of Goods (excluding Factor Income Flows),-6398.0
80,Expenditure on GNP at Current Market Prices,1995Q3,Export of Services (excluding Factor Income Flows),1278.0
81,Expenditure on GNP at Current Market Prices,1995Q3,Import of Services (excluding Factor Income Flows),-2111.0
82,Expenditure on GNP at Current Market Prices,1995Q3,Final Domestic Demand,11951.0
83,Expenditure on GNP at Current Market Prices,1995Q3,Total Domestic Demand,11864.0
84,Expenditure on GNP at Current Market Prices,1995Q4,Personal Expenditure on Consumer Goods and Services,8137.0
85,Expenditure on GNP at Current Market Prices,1995Q4,Household & NPISH Final Consumption Expenditure,7886.0
86,Expenditure on GNP at Current Market Prices,1995Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,2281.0
87,Expenditure on GNP at Current Market Prices,1995Q4,General Government Expenditure on Goods & Services provided to Households,1559.0
88,Expenditure on GNP at Current Market Prices,1995Q4,General Government Collective Consumption Expenditure,972.0
89,Expenditure on GNP at Current Market Prices,1995Q4,General Government Final Consumption Expenditure,2532.0
90,Expenditure on GNP at Current Market Prices,1995Q4,Gross Domestic Fixed Capital Formation,2453.0
91,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Dwellings,563.0
92,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Improvements,161.0
93,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Other Building and Construction,556.0
94,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Transfer Costs,93.0
95,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Machinery and Equipment,828.0
96,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,81.0
97,Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Intangible Assets,252.0
98,Expenditure on GNP at Current Market Prices,1995Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
99,Expenditure on GNP at Current Market Prices,1995Q4,Value of Physical Changes in Stocks,30.0
100,Expenditure on GNP at Current Market Prices,1995Q4,Exports of Goods and Services (excluding Factor Income Flows),10972.0
101,Expenditure on GNP at Current Market Prices,1995Q4,Imports of Goods and Services (excluding Factor Income Flows),-9592.0
102,Expenditure on GNP at Current Market Prices,1995Q4,Gross Domestic Product at Market Prices,14063.0
103,Expenditure on GNP at Current Market Prices,1995Q4,Net Factor Income from the Rest of the World,-1498.0
104,Expenditure on GNP at Current Market Prices,1995Q4,Gross National Product at Market Prices,12566.0
105,Expenditure on GNP at Current Market Prices,1995Q4,Statistical Discrepancy,-218.0
106,Expenditure on GNP at Current Market Prices,1995Q4,Export of Goods (excluding Factor Income Flows),9595.0
107,Expenditure on GNP at Current Market Prices,1995Q4,Import of Goods (excluding Factor Income Flows),-7212.0
108,Expenditure on GNP at Current Market Prices,1995Q4,Export of Services (excluding Factor Income Flows),1377.0
109,Expenditure on GNP at Current Market Prices,1995Q4,Import of Services (excluding Factor Income Flows),-2380.0
110,Expenditure on GNP at Current Market Prices,1995Q4,Final Domestic Demand,12872.0
111,Expenditure on GNP at Current Market Prices,1995Q4,Total Domestic Demand,12902.0
112,Expenditure on GNP at Current Market Prices,1996Q1,Personal Expenditure on Consumer Goods and Services,7514.0
113,Expenditure on GNP at Current Market Prices,1996Q1,Household & NPISH Final Consumption Expenditure,7514.0
114,Expenditure on GNP at Current Market Prices,1996Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2324.0
115,Expenditure on GNP at Current Market Prices,1996Q1,General Government Expenditure on Goods & Services provided to Households,1436.0
116,Expenditure on GNP at Current Market Prices,1996Q1,General Government Collective Consumption Expenditure,888.0
117,Expenditure on GNP at Current Market Prices,1996Q1,General Government Final Consumption Expenditure,2324.0
118,Expenditure on GNP at Current Market Prices,1996Q1,Gross Domestic Fixed Capital Formation,2944.0
119,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Dwellings,529.0
120,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Improvements,216.0
121,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Other Building and Construction,639.0
122,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Transfer Costs,98.0
123,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Machinery and Equipment,1192.0
124,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,15.0
125,Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Intangible Assets,270.0
126,Expenditure on GNP at Current Market Prices,1996Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
127,Expenditure on GNP at Current Market Prices,1996Q1,Value of Physical Changes in Stocks,270.0
128,Expenditure on GNP at Current Market Prices,1996Q1,Exports of Goods and Services (excluding Factor Income Flows),11024.0
129,Expenditure on GNP at Current Market Prices,1996Q1,Imports of Goods and Services (excluding Factor Income Flows),-9497.0
130,Expenditure on GNP at Current Market Prices,1996Q1,Gross Domestic Product at Market Prices,14611.0
131,Expenditure on GNP at Current Market Prices,1996Q1,Net Factor Income from the Rest of the World,-1780.0
132,Expenditure on GNP at Current Market Prices,1996Q1,Gross National Product at Market Prices,12831.0
133,Expenditure on GNP at Current Market Prices,1996Q1,Statistical Discrepancy,32.0
134,Expenditure on GNP at Current Market Prices,1996Q1,Export of Goods (excluding Factor Income Flows),9554.0
135,Expenditure on GNP at Current Market Prices,1996Q1,Import of Goods (excluding Factor Income Flows),-6934.0
136,Expenditure on GNP at Current Market Prices,1996Q1,Export of Services (excluding Factor Income Flows),1469.0
137,Expenditure on GNP at Current Market Prices,1996Q1,Import of Services (excluding Factor Income Flows),-2562.0
138,Expenditure on GNP at Current Market Prices,1996Q1,Final Domestic Demand,12782.0
139,Expenditure on GNP at Current Market Prices,1996Q1,Total Domestic Demand,13052.0
140,Expenditure on GNP at Current Market Prices,1996Q2,Personal Expenditure on Consumer Goods and Services,7760.0
141,Expenditure on GNP at Current Market Prices,1996Q2,Household & NPISH Final Consumption Expenditure,7616.0
142,Expenditure on GNP at Current Market Prices,1996Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2356.0
143,Expenditure on GNP at Current Market Prices,1996Q2,General Government Expenditure on Goods & Services provided to Households,1545.0
144,Expenditure on GNP at Current Market Prices,1996Q2,General Government Collective Consumption Expenditure,955.0
145,Expenditure on GNP at Current Market Prices,1996Q2,General Government Final Consumption Expenditure,2500.0
146,Expenditure on GNP at Current Market Prices,1996Q2,Gross Domestic Fixed Capital Formation,3053.0
147,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Dwellings,553.0
148,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Improvements,223.0
149,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Other Building and Construction,758.0
150,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Transfer Costs,107.0
151,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Machinery and Equipment,1151.0
152,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,27.0
153,Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Intangible Assets,262.0
154,Expenditure on GNP at Current Market Prices,1996Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
155,Expenditure on GNP at Current Market Prices,1996Q2,Value of Physical Changes in Stocks,249.0
156,Expenditure on GNP at Current Market Prices,1996Q2,Exports of Goods and Services (excluding Factor Income Flows),11234.0
157,Expenditure on GNP at Current Market Prices,1996Q2,Imports of Goods and Services (excluding Factor Income Flows),-9433.0
158,Expenditure on GNP at Current Market Prices,1996Q2,Gross Domestic Product at Market Prices,15268.0
159,Expenditure on GNP at Current Market Prices,1996Q2,Net Factor Income from the Rest of the World,-1573.0
160,Expenditure on GNP at Current Market Prices,1996Q2,Gross National Product at Market Prices,13695.0
161,Expenditure on GNP at Current Market Prices,1996Q2,Statistical Discrepancy,50.0
162,Expenditure on GNP at Current Market Prices,1996Q2,Export of Goods (excluding Factor Income Flows),9736.0
163,Expenditure on GNP at Current Market Prices,1996Q2,Import of Goods (excluding Factor Income Flows),-6888.0
164,Expenditure on GNP at Current Market Prices,1996Q2,Export of Services (excluding Factor Income Flows),1497.0
165,Expenditure on GNP at Current Market Prices,1996Q2,Import of Services (excluding Factor Income Flows),-2545.0
166,Expenditure on GNP at Current Market Prices,1996Q2,Final Domestic Demand,13169.0
167,Expenditure on GNP at Current Market Prices,1996Q2,Total Domestic Demand,13418.0
168,Expenditure on GNP at Current Market Prices,1996Q3,Personal Expenditure on Consumer Goods and Services,7944.0
169,Expenditure on GNP at Current Market Prices,1996Q3,Household & NPISH Final Consumption Expenditure,7846.0
170,Expenditure on GNP at Current Market Prices,1996Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2377.0
171,Expenditure on GNP at Current Market Prices,1996Q3,General Government Expenditure on Goods & Services provided to Households,1529.0
172,Expenditure on GNP at Current Market Prices,1996Q3,General Government Collective Consumption Expenditure,946.0
173,Expenditure on GNP at Current Market Prices,1996Q3,General Government Final Consumption Expenditure,2475.0
174,Expenditure on GNP at Current Market Prices,1996Q3,Gross Domestic Fixed Capital Formation,2981.0
175,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Dwellings,656.0
176,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Improvements,251.0
177,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Other Building and Construction,680.0
178,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Transfer Costs,130.0
179,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Machinery and Equipment,970.0
180,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,67.0
181,Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Intangible Assets,293.0
182,Expenditure on GNP at Current Market Prices,1996Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
183,Expenditure on GNP at Current Market Prices,1996Q3,Value of Physical Changes in Stocks,-235.0
184,Expenditure on GNP at Current Market Prices,1996Q3,Exports of Goods and Services (excluding Factor Income Flows),11164.0
185,Expenditure on GNP at Current Market Prices,1996Q3,Imports of Goods and Services (excluding Factor Income Flows),-9330.0
186,Expenditure on GNP at Current Market Prices,1996Q3,Gross Domestic Product at Market Prices,14752.0
187,Expenditure on GNP at Current Market Prices,1996Q3,Net Factor Income from the Rest of the World,-1537.0
188,Expenditure on GNP at Current Market Prices,1996Q3,Gross National Product at Market Prices,13215.0
189,Expenditure on GNP at Current Market Prices,1996Q3,Statistical Discrepancy,-148.0
190,Expenditure on GNP at Current Market Prices,1996Q3,Export of Goods (excluding Factor Income Flows),9676.0
191,Expenditure on GNP at Current Market Prices,1996Q3,Import of Goods (excluding Factor Income Flows),-6812.0
192,Expenditure on GNP at Current Market Prices,1996Q3,Export of Services (excluding Factor Income Flows),1488.0
193,Expenditure on GNP at Current Market Prices,1996Q3,Import of Services (excluding Factor Income Flows),-2517.0
194,Expenditure on GNP at Current Market Prices,1996Q3,Final Domestic Demand,13301.0
195,Expenditure on GNP at Current Market Prices,1996Q3,Total Domestic Demand,13066.0
196,Expenditure on GNP at Current Market Prices,1996Q4,Personal Expenditure on Consumer Goods and Services,9034.0
197,Expenditure on GNP at Current Market Prices,1996Q4,Household & NPISH Final Consumption Expenditure,8741.0
198,Expenditure on GNP at Current Market Prices,1996Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,2388.0
199,Expenditure on GNP at Current Market Prices,1996Q4,General Government Expenditure on Goods & Services provided to Households,1657.0
200,Expenditure on GNP at Current Market Prices,1996Q4,General Government Collective Consumption Expenditure,1024.0
201,Expenditure on GNP at Current Market Prices,1996Q4,General Government Final Consumption Expenditure,2681.0
202,Expenditure on GNP at Current Market Prices,1996Q4,Gross Domestic Fixed Capital Formation,2943.0
203,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Dwellings,674.0
204,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Improvements,229.0
205,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Other Building and Construction,733.0
206,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Transfer Costs,126.0
207,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Machinery and Equipment,882.0
208,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2.0
209,Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Intangible Assets,299.0
210,Expenditure on GNP at Current Market Prices,1996Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
211,Expenditure on GNP at Current Market Prices,1996Q4,Value of Physical Changes in Stocks,144.0
212,Expenditure on GNP at Current Market Prices,1996Q4,Exports of Goods and Services (excluding Factor Income Flows),11633.0
213,Expenditure on GNP at Current Market Prices,1996Q4,Imports of Goods and Services (excluding Factor Income Flows),-10212.0
214,Expenditure on GNP at Current Market Prices,1996Q4,Gross Domestic Product at Market Prices,15516.0
215,Expenditure on GNP at Current Market Prices,1996Q4,Net Factor Income from the Rest of the World,-1645.0
216,Expenditure on GNP at Current Market Prices,1996Q4,Gross National Product at Market Prices,13870.0
217,Expenditure on GNP at Current Market Prices,1996Q4,Statistical Discrepancy,-415.0
218,Expenditure on GNP at Current Market Prices,1996Q4,Export of Goods (excluding Factor Income Flows),10083.0
219,Expenditure on GNP at Current Market Prices,1996Q4,Import of Goods (excluding Factor Income Flows),-7456.0
220,Expenditure on GNP at Current Market Prices,1996Q4,Export of Services (excluding Factor Income Flows),1551.0
221,Expenditure on GNP at Current Market Prices,1996Q4,Import of Services (excluding Factor Income Flows),-2755.0
222,Expenditure on GNP at Current Market Prices,1996Q4,Final Domestic Demand,14366.0
223,Expenditure on GNP at Current Market Prices,1996Q4,Total Domestic Demand,14510.0
224,Expenditure on GNP at Current Market Prices,1997Q1,Personal Expenditure on Consumer Goods and Services,8175.0
225,Expenditure on GNP at Current Market Prices,1997Q1,Household & NPISH Final Consumption Expenditure,8022.0
226,Expenditure on GNP at Current Market Prices,1997Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2449.0
227,Expenditure on GNP at Current Market Prices,1997Q1,General Government Expenditure on Goods & Services provided to Households,1618.0
228,Expenditure on GNP at Current Market Prices,1997Q1,General Government Collective Consumption Expenditure,985.0
229,Expenditure on GNP at Current Market Prices,1997Q1,General Government Final Consumption Expenditure,2602.0
230,Expenditure on GNP at Current Market Prices,1997Q1,Gross Domestic Fixed Capital Formation,3392.0
231,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Dwellings,662.0
232,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Improvements,273.0
233,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Other Building and Construction,799.0
234,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Transfer Costs,124.0
235,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Machinery and Equipment,1211.0
236,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,36.0
237,Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Intangible Assets,321.0
238,Expenditure on GNP at Current Market Prices,1997Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
239,Expenditure on GNP at Current Market Prices,1997Q1,Value of Physical Changes in Stocks,344.0
240,Expenditure on GNP at Current Market Prices,1997Q1,Exports of Goods and Services (excluding Factor Income Flows),11737.0
241,Expenditure on GNP at Current Market Prices,1997Q1,Imports of Goods and Services (excluding Factor Income Flows),-10403.0
242,Expenditure on GNP at Current Market Prices,1997Q1,Gross Domestic Product at Market Prices,16112.0
243,Expenditure on GNP at Current Market Prices,1997Q1,Net Factor Income from the Rest of the World,-2222.0
244,Expenditure on GNP at Current Market Prices,1997Q1,Gross National Product at Market Prices,13891.0
245,Expenditure on GNP at Current Market Prices,1997Q1,Statistical Discrepancy,418.0
246,Expenditure on GNP at Current Market Prices,1997Q1,Export of Goods (excluding Factor Income Flows),10131.0
247,Expenditure on GNP at Current Market Prices,1997Q1,Import of Goods (excluding Factor Income Flows),-7473.0
248,Expenditure on GNP at Current Market Prices,1997Q1,Export of Services (excluding Factor Income Flows),1606.0
249,Expenditure on GNP at Current Market Prices,1997Q1,Import of Services (excluding Factor Income Flows),-2930.0
250,Expenditure on GNP at Current Market Prices,1997Q1,Final Domestic Demand,14017.0
251,Expenditure on GNP at Current Market Prices,1997Q1,Total Domestic Demand,14361.0
252,Expenditure on GNP at Current Market Prices,1997Q2,Personal Expenditure on Consumer Goods and Services,8536.0
253,Expenditure on GNP at Current Market Prices,1997Q2,Household & NPISH Final Consumption Expenditure,8378.0
254,Expenditure on GNP at Current Market Prices,1997Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2644.0
255,Expenditure on GNP at Current Market Prices,1997Q2,General Government Expenditure on Goods & Services provided to Households,1741.0
256,Expenditure on GNP at Current Market Prices,1997Q2,General Government Collective Consumption Expenditure,1060.0
257,Expenditure on GNP at Current Market Prices,1997Q2,General Government Final Consumption Expenditure,2801.0
258,Expenditure on GNP at Current Market Prices,1997Q2,Gross Domestic Fixed Capital Formation,3702.0
259,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Dwellings,767.0
260,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Improvements,261.0
261,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Other Building and Construction,871.0
262,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Transfer Costs,131.0
263,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Machinery and Equipment,1338.0
264,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,134.0
265,Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Intangible Assets,334.0
266,Expenditure on GNP at Current Market Prices,1997Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
267,Expenditure on GNP at Current Market Prices,1997Q2,Value of Physical Changes in Stocks,313.0
268,Expenditure on GNP at Current Market Prices,1997Q2,Exports of Goods and Services (excluding Factor Income Flows),13393.0
269,Expenditure on GNP at Current Market Prices,1997Q2,Imports of Goods and Services (excluding Factor Income Flows),-11327.0
270,Expenditure on GNP at Current Market Prices,1997Q2,Gross Domestic Product at Market Prices,17360.0
271,Expenditure on GNP at Current Market Prices,1997Q2,Net Factor Income from the Rest of the World,-2213.0
272,Expenditure on GNP at Current Market Prices,1997Q2,Gross National Product at Market Prices,15147.0
273,Expenditure on GNP at Current Market Prices,1997Q2,Statistical Discrepancy,99.0
