,Statistic,Quarter,Item,value
31,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1166.0
32,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - ESA2010 Code (TR),10524.0
33,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),9519.0
34,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),8186.0
35,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1333.0
36,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),364.0
37,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),329.0
38,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),102.0
39,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),210.0
40,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - ESA2010 Code (TE),7572.0
41,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),7287.0
42,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2118.0
43,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1326.0
44,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),461.0
45,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),526.0
46,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),244.0
47,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2055.0
48,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),338.0
49,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),218.0
50,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net operating balance - ESA2010 Code  (NOB),3238.0
51,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),285.0
52,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government Surplus/Deficit - ESA2010 Code (B9),2953.0
53,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets,
54,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
55,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
56,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
57,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net incurrence of liabilities,
58,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
59,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
60,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,Memo: Net derivative flows on debt interest swap contracts,
61,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9964.0
62,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8006.0
63,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1958.0
64,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - ESA2010 Code (TR),9147.0
65,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),8174.0
66,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),6840.0
67,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1333.0
68,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),357.0
69,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),179.0
70,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),93.0
71,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),344.0
72,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - ESA2010 Code (TE),8378.0
73,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),7877.0
74,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2183.0
75,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1377.0
76,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),461.0
77,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),526.0
78,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),317.0
79,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2355.0
80,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),378.0
81,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),280.0
82,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net operating balance - ESA2010 Code  (NOB),1271.0
83,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),502.0
84,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government Surplus/Deficit - ESA2010 Code (B9),769.0
85,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets,
86,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
87,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
88,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
89,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net incurrence of liabilities,
90,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
91,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
92,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,Memo: Net derivative flows on debt interest swap contracts,
93,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9858.0
94,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8726.0
95,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1132.0
96,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - ESA2010 Code (TR),10203.0
97,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),9213.0
98,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),7880.0
99,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1333.0
100,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),450.0
101,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),128.0
102,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),92.0
103,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),320.0
104,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - ESA2010 Code (TE),9841.0
105,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),8808.0
106,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2572.0
107,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1586.0
108,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),461.0
109,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),526.0
110,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),316.0
111,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2623.0
112,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),388.0
113,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),335.0
114,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net operating balance - ESA2010 Code  (NOB),1395.0
115,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1033.0
116,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government Surplus/Deficit - ESA2010 Code (B9),362.0
117,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets,
118,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
119,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
120,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
121,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net incurrence of liabilities,
122,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
123,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
124,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,Memo: Net derivative flows on debt interest swap contracts,
125,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9249.0
126,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),8225.0
127,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2000Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1024.0
128,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - ESA2010 Code (TR),9060.0
129,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),8235.0
130,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),6712.0
131,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1523.0
132,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),367.0
133,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),135.0
134,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),70.0
135,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),252.0
136,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - ESA2010 Code (TE),8273.0
137,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),7944.0
138,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2391.0
139,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1408.0
140,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),529.0
141,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),257.0
142,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),253.0
143,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),2472.0
144,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),435.0
145,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),199.0
146,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net operating balance - ESA2010 Code  (NOB),1116.0
147,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),329.0
148,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government Surplus/Deficit - ESA2010 Code (B9),787.0
149,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets,
150,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
151,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
152,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
153,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net incurrence of liabilities,
154,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
155,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
156,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,Memo: Net derivative flows on debt interest swap contracts,
157,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),9810.0
158,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),9112.0
159,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),699.0
160,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - ESA2010 Code (TR),11209.0
161,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),9963.0
162,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),8439.0
163,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),1523.0
164,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),386.0
165,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),516.0
166,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),45.0
167,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),299.0
168,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - ESA2010 Code (TE),9269.0
169,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),8690.0
170,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),2476.0
171,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1526.0
172,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),529.0
173,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2001Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),533.0
