Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Gross National Product at Market Prices,23957.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Modified Final Domestic Demand,21148.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Personal Expenditure on Consumer Goods and Services,11523.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4413.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Gross Domestic Fixed Capital Formation,5766.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Exports of Goods and Services (excluding Factor Income Flows),12539.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Imports of Goods and Services (excluding Factor Income Flows),-11366.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Gross Domestic Product at Market Prices,26339.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Gross National Product at Market Prices,24514.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Modified Final Domestic Demand,21404.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Personal Expenditure on Consumer Goods and Services,11742.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4423.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Gross Domestic Fixed Capital Formation,5584.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Exports of Goods and Services (excluding Factor Income Flows),13110.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Imports of Goods and Services (excluding Factor Income Flows),-11894.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Gross Domestic Product at Market Prices,25991.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Gross National Product at Market Prices,24215.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Modified Final Domestic Demand,21669.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Personal Expenditure on Consumer Goods and Services,11992.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4203.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Gross Domestic Fixed Capital Formation,5233.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Exports of Goods and Services (excluding Factor Income Flows),13483.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Imports of Goods and Services (excluding Factor Income Flows),-12439.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Gross Domestic Product at Market Prices,26173.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Gross National Product at Market Prices,24000.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Modified Final Domestic Demand,21818.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Personal Expenditure on Consumer Goods and Services,12077.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4499.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Gross Domestic Fixed Capital Formation,6299.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Exports of Goods and Services (excluding Factor Income Flows),14305.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Imports of Goods and Services (excluding Factor Income Flows),-12936.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Gross Domestic Product at Market Prices,27900.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Gross National Product at Market Prices,25336.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Modified Final Domestic Demand,22486.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Personal Expenditure on Consumer Goods and Services,12321.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4706.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Gross Domestic Fixed Capital Formation,6596.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Exports of Goods and Services (excluding Factor Income Flows),14786.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Imports of Goods and Services (excluding Factor Income Flows),-13294.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Gross Domestic Product at Market Prices,28947.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Gross National Product at Market Prices,26650.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Modified Final Domestic Demand,23297.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Personal Expenditure on Consumer Goods and Services,12563.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4666.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Gross Domestic Fixed Capital Formation,6252.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Exports of Goods and Services (excluding Factor Income Flows),15500.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Imports of Goods and Services (excluding Factor Income Flows),-13840.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Gross Domestic Product at Market Prices,29263.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Gross National Product at Market Prices,27123.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Modified Final Domestic Demand,23372.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Personal Expenditure on Consumer Goods and Services,13100.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4761.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Gross Domestic Fixed Capital Formation,6660.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Exports of Goods and Services (excluding Factor Income Flows),15849.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Imports of Goods and Services (excluding Factor Income Flows),-14625.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Gross Domestic Product at Market Prices,29571.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Gross National Product at Market Prices,26994.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Modified Final Domestic Demand,24882.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Personal Expenditure on Consumer Goods and Services,13180.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4813.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross Domestic Fixed Capital Formation,6980.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Exports of Goods and Services (excluding Factor Income Flows),17970.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Imports of Goods and Services (excluding Factor Income Flows),-16822.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross Domestic Product at Market Prices,30721.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross National Product at Market Prices,28336.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Modified Final Domestic Demand,24556.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Personal Expenditure on Consumer Goods and Services,13521.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4862.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross Domestic Fixed Capital Formation,7238.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Exports of Goods and Services (excluding Factor Income Flows),18820.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Imports of Goods and Services (excluding Factor Income Flows),-17186.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross Domestic Product at Market Prices,31438.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross National Product at Market Prices,28828.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Modified Final Domestic Demand,25250.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Personal Expenditure on Consumer Goods and Services,13744.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5010.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Fixed Capital Formation,7211.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Exports of Goods and Services (excluding Factor Income Flows),20095.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Imports of Goods and Services (excluding Factor Income Flows),-18126.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Product at Market Prices,32444.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross National Product at Market Prices,29084.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Modified Final Domestic Demand,25793.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Personal Expenditure on Consumer Goods and Services,13907.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5096.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Fixed Capital Formation,7327.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Exports of Goods and Services (excluding Factor Income Flows),19930.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Imports of Goods and Services (excluding Factor Income Flows),-19215.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Product at Market Prices,31342.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross National Product at Market Prices,28403.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Modified Final Domestic Demand,26611.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Personal Expenditure on Consumer Goods and Services,14437.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5124.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Fixed Capital Formation,8005.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Exports of Goods and Services (excluding Factor Income Flows),20492.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Imports of Goods and Services (excluding Factor Income Flows),-18563.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Product at Market Prices,33568.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross National Product at Market Prices,30774.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Modified Final Domestic Demand,27072.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Personal Expenditure on Consumer Goods and Services,14440.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5171.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Fixed Capital Formation,8264.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Exports of Goods and Services (excluding Factor Income Flows),21888.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Imports of Goods and Services (excluding Factor Income Flows),-19989.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Product at Market Prices,34098.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross National Product at Market Prices,31042.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Modified Final Domestic Demand,27406.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Personal Expenditure on Consumer Goods and Services,15317.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5299.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Fixed Capital Formation,8708.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Exports of Goods and Services (excluding Factor Income Flows),23106.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Imports of Goods and Services (excluding Factor Income Flows),-20919.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Product at Market Prices,35228.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross National Product at Market Prices,30823.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Modified Final Domestic Demand,29071.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Personal Expenditure on Consumer Goods and Services,15296.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5304.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Fixed Capital Formation,7993.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Exports of Goods and Services (excluding Factor Income Flows),24230.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Imports of Goods and Services (excluding Factor Income Flows),-21771.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Product at Market Prices,35759.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross National Product at Market Prices,31492.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Modified Final Domestic Demand,28840.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Personal Expenditure on Consumer Goods and Services,16058.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5376.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Fixed Capital Formation,8927.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Exports of Goods and Services (excluding Factor Income Flows),25015.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Imports of Goods and Services (excluding Factor Income Flows),-22902.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Product at Market Prices,36424.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross National Product at Market Prices,32819.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Modified Final Domestic Demand,29859.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Personal Expenditure on Consumer Goods and Services,16440.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5535.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Fixed Capital Formation,8938.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Exports of Goods and Services (excluding Factor Income Flows),27297.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Imports of Goods and Services (excluding Factor Income Flows),-25088.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Product at Market Prices,37632.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross National Product at Market Prices,34619.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Modified Final Domestic Demand,30470.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Personal Expenditure on Consumer Goods and Services,16546.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5635.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Fixed Capital Formation,8601.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Exports of Goods and Services (excluding Factor Income Flows),28449.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Imports of Goods and Services (excluding Factor Income Flows),-25921.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Product at Market Prices,38260.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross National Product at Market Prices,33691.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Modified Final Domestic Demand,30535.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Personal Expenditure on Consumer Goods and Services,16699.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5982.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Fixed Capital Formation,8006.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Exports of Goods and Services (excluding Factor Income Flows),29806.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Imports of Goods and Services (excluding Factor Income Flows),-27878.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Product at Market Prices,38324.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross National Product at Market Prices,33455.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Modified Final Domestic Demand,30967.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Personal Expenditure on Consumer Goods and Services,17002.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5911.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Fixed Capital Formation,9548.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Exports of Goods and Services (excluding Factor Income Flows),32096.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Imports of Goods and Services (excluding Factor Income Flows),-29661.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Product at Market Prices,39351.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross National Product at Market Prices,35081.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Modified Final Domestic Demand,31782.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Personal Expenditure on Consumer Goods and Services,17345.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6071.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross Domestic Fixed Capital Formation,9715.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Exports of Goods and Services (excluding Factor Income Flows),31211.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Imports of Goods and Services (excluding Factor Income Flows),-27914.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross Domestic Product at Market Prices,39997.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross National Product at Market Prices,35175.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Modified Final Domestic Demand,32320.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Personal Expenditure on Consumer Goods and Services,17333.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6226.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross Domestic Fixed Capital Formation,8971.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Exports of Goods and Services (excluding Factor Income Flows),31845.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Imports of Goods and Services (excluding Factor Income Flows),-28760.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross Domestic Product at Market Prices,39679.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross National Product at Market Prices,34176.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Modified Final Domestic Demand,31811.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Personal Expenditure on Consumer Goods and Services,17692.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6548.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross Domestic Fixed Capital Formation,8881.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Exports of Goods and Services (excluding Factor Income Flows),32467.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Imports of Goods and Services (excluding Factor Income Flows),-29342.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross Domestic Product at Market Prices,40252.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross National Product at Market Prices,34564.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Modified Final Domestic Demand,32652.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Personal Expenditure on Consumer Goods and Services,17861.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6501.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross Domestic Fixed Capital Formation,9796.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Exports of Goods and Services (excluding Factor Income Flows),35047.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Imports of Goods and Services (excluding Factor Income Flows),-31493.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross Domestic Product at Market Prices,41451.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross National Product at Market Prices,35267.0
